497634
/m/02hkxr
/m/02hkxr
Terry Pratchett
1995
a 7
able 1
accidents 1
agnes 5
also 3
an 1
and 8
ankhmorpork 2
another 1
are 2
as 9
asked 1
assumed 1
at 2
attempt 1
audience 1
background 1
be 2
became 1
been 3
begins 2
being 3
book 1
but 3
by 2
cable 1
career 1
chorus 1
chosen 1
christine 3
coerced 1
collect 1
commit 2
complete 1
cookbook 1
coven 2
cover 1
defeat 1
determine 1
discovered 1
distraction 1
due 1
either 1
employee 1
evidence 1
fact 1
fears 1
finally 1
finances 1
for 2
from 1
garlick 1
ghost 5
girl 1
given 1
granny 2
had 1
harmless 2
has 3
haunted 1
have 1
having 2
he 1
help 2
her 2
herself 1
hide 1
his 1
house 6
identity 1
immensely 1
in 4
incident 1
incredibly 1
insinuating 1
intentionally 1
into 2
investigate 1
is 7
it 1
janitor 1
ladies 1
lancre 2
lead 1
leave 1
leaving 1
left 1
less 1
long 1
lords 1
made 1
magrat 1
manipulated 1
masquerading 1
meets 1
member 2
mess 1
money 2
more 1
much 1
murderer 1
murders 3
mystery 1
nanny 3
nitt 2
not 1
of 4
ogg 1
opera 6
or 2
order 1
original 1
others 1
out 1
overcome 1
paid 1
particulars 1
parts 1
patron 1
pay 1
people 1
plinge 2
popular 2
posing 1
powerful 1
problems 1
productions 1
psychologically 1
publisher 2
queen 1
random 1
realizes 1
recruit 1
replace 1
requests 1
revealed 1
rich 1
richly 1
roles 1
second 1
seek 1
seemingly 2
several 1
she 2
sing 1
so 1
staff 1
staged 1
stolen 1
story 1
street 1
suspected 1
talented 1
that 4
the 34
theft 1
their 1
though 1
to 15
turns 1
two 1
unbeknownst 1
unconvinced 1
unmasks 1
upcoming 1
used 1
versatile 1
voice 1
walter 3
was 1
weatherwax 1
well 1
when 2
where 1
which 1
who 3
witches 4
with 4
without 1
written 1
