5260741
/m/0dbd1l
/m/0dbd1l
Patrick Larkin
1991-06
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/098tmk": "War novel"}
10s 1
a 13
abolished 1
abuses 1
advance 1
advantage 1
affecting 1
affiliates 1
africa 5
african 5
africas 2
afrikaner 3
afrikaners 1
after 3
against 1
aided 1
air 3
alike 1
allies 2
allowing 1
also 2
although 2
american 2
an 2
anc 6
and 22
angola 1
another 1
antiapartheid 1
antivorster 1
apartheid 6
are 1
armed 1
armoured 1
army 1
arsenal 1
as 4
aside 1
assassinate 1
assistance 1
at 4
attempt 1
attempting 1
attempts 1
authorize 2
backed 1
backing 1
barrages 1
battered 1
became 1
becomes 1
been 1
begin 2
begins 1
beneath 1
blitz 1
blow 1
both 2
britain 1
british 1
brought 1
brushing 1
brutal 1
brute 1
by 9
cabinet 1
camps 1
cape 1
capture 1
casualties 1
cease 1
chaos 1
chemical 1
chieftain 1
city 1
civilian 1
civilians 1
clandestine 1
clear 1
close 1
column 1
combatant 1
commandos 1
commonplace 1
communist 1
completed 1
complicate 1
concluded 1
condemning 1
conditions 1
conducting 1
conflict 1
confronted 1
conglomerate 1
congress 1
conscription 1
conspiracy 1
contaminate 1
continent 1
country 1
crackdowns 1
cuba 1
cuban 5
dampen 1
dead 1
dealing 1
decades 1
declares 1
defence 1
democratic 1
demoralize 1
denaturalised 1
deployment 1
desert 1
desperate 1
despite 2
details 1
direct 3
disarm 1
disgusted 1
dissension 1
divisions 1
durbans 1
during 1
economic 1
economy 1
elements 1
eliminating 1
end 1
ensuing 1
entering 1
establishing 1
even 1
exasperation 1
executed 1
factions 1
fall 1
fanatic 1
feeble 1
field 1
fighters 1
following 1
for 8
force 5
forces 1
formally 1
free 1
friendly 1
from 3
fullfledged 1
gain 1
goes 2
government 3
great 1
greater 1
guerrilla 1
halting 1
hardline 1
has 1
havana 1
having 1
headway 1
heavy 1
his 3
home 1
homeland 1
hoping 1
hostile 1
however 2
human 1
humiliated 1
hundreds 2
hypothetical 1
illegal 1
in 10
independent 1
indian 1
indiscriminate 1
indiscriminately 1
injustice 1
innocents 1
intend 1
intending 1
internal 3
internment 1
intervention 1
into 2
invade 1
invasion 2
is 6
isolated 1
its 4
joint 1
karl 2
killed 1
killings 1
knowledge 1
large 1
launch 1
launches 1
law 1
leadership 2
leads 1
learning 1
leaving 1
led 1
let 1
libya 1
libyan 1
live 1
local 1
logistical 1
make 1
man 1
manipulate 1
martial 1
massacre 1
masters 1
matters 1
meanwhile 1
metals 1
military 3
militias 1
minister 1
minority 1
moderate 1
moderates 1
months 1
mortal 1
moscow 1
most 1
mounting 1
moved 1
movement 1
movements 1
mozambique 1
much 1
multiracial 1
murder 1
namibia 1
namibian 1
narrowly 1
national 2
nations 1
naval 1
negotiations 1
neighbouring 1
never 1
new 3
newly 1
nuclear 3
of 23
offered 1
officials 1
on 5
one 3
only 1
operations 1
opponents 1
or 1
orange 1
ordered 1
orders 1
organizations 1
overrun 1
overwhelming 1
part 1
parties 1
party 1
permit 1
personal 1
personnel 1
plan 1
planning 1
play 1
plot 1
police 1
political 2
population 1
posed 1
positions 1
power 2
precious 1
prepare 1
president 2
pressure 1
pretoria 2
price 1
proceed 1
progress 1
projectile 1
prompts 1
properly 1
protesting 1
push 1
race 1
racial 1
radiation 1
raid 1
rangers 1
rapidly 1
rebelbacked 1
reduce 1
reestablish 1
reformist 1
reforms 1
refuse 1
refuses 1
regime 2
remain 1
removed 1
reservists 1
resistance 2
retaliates 1
revolts 1
rivals 1
ruble 1
ruling 1
sadf 1
save 1
secessionist 1
secessionists 1
security 2
seeks 1
seize 2
shields 1
short 1
sides 1
situation 1
skyrocketing 1
slow 1
soldiers 1
south 11
soviet 2
stalls 1
state 2
states 1
statesponsored 1
staunchest 1
stockpile 1
storm 1
strafe 1
strikes 1
strongman 1
structure 1
students 1
subsequently 1
such 3
suffering 1
support 2
supporters 2
suppress 1
suppression 1
surface 1
suspected 1
sweeping 1
system 1
table 1
take 1
tank 1
task 1
tense 1
territory 1
terrorist 1
terrorists 1
that 1
the 41
their 7
them 1
these 1
this 1
those 1
thousand 1
threat 2
three 1
ties 1
to 28
torture 1
total 1
towards 1
town 1
transvaal 2
tribal 1
uncover 1
unhinged 1
union 1
units 1
university 1
unrest 1
uprising 1
us 1
use 1
uses 1
using 1
various 1
violent 1
vorster 3
vorsters 3
vote 1
vows 1
waste 1
weapons 3
west 2
when 1
while 4
white 2
windhoek 1
with 7
withdrawal 1
witwatersrand 1
world 1
worsen 1
zimbabwe 1
zulu 1
