12545424
/m/02wcj3g
/m/02wcj3g
Chris Bunch
1992
6 1
6year 1
a 11
about 1
actual 1
add 1
admiral 5
after 2
again 1
against 2
agent 1
ago 1
agrees 1
alex 2
all 2
alone 1
also 2
altai 4
am2 1
an 4
and 23
antimatter 1
anymore 1
appointed 1
are 4
arrests 1
arrival 1
as 7
asks 1
assassin 1
assassinate 1
assassinated 1
assassination 1
assigns 1
at 1
attempt 2
back 1
banished 1
barely 1
be 1
before 2
being 1
best 1
between 1
bhor 1
big 1
bloody 1
book 1
boss 1
brilliantly 1
brink 1
brought 1
buster 1
but 2
by 5
call 1
can 2
cant 2
captain 1
career 1
case 1
cause 1
cemented 1
central 1
certain 1
charged 1
check 1
cind 2
civil 1
cluster 5
collapse 1
collecting 1
company 1
compel 1
complains 1
conclusion 1
contingents 1
continues 1
continuing 1
control 2
cover 1
daily 1
dead 1
deaf 1
decides 1
decision 1
declared 1
desperate 1
despot 1
destroy 2
dictator 2
diplomacy 1
diplomat 1
discovers 1
dispose 1
doesnt 1
domestic 1
downfall 1
each 1
earlier 1
ears 1
eastlike 1
economic 2
emperor 10
emperors 2
empire 5
entourage 1
especially 1
et 1
eternal 4
even 1
evidence 1
excellent 1
executed 1
extremely 1
faction 1
factions 2
fails 1
failure 1
fall 1
fault 1
few 1
field 1
fighting 1
fire 1
flagship 1
flee 1
fleet 2
flow 1
followed 1
for 1
forced 1
forces 2
form 1
former 2
fortunately 1
friend 2
friends 5
from 3
fulfilled 1
goes 1
going 1
grave 1
gurkha 1
hand 1
he 8
hears 1
help 2
her 1
him 1
his 15
horribly 1
however 2
human 1
ian 2
imperial 1
important 1
imprisoned 1
in 7
information 1
instability 1
iron 1
is 14
jochi 2
karl 1
keeps 1
khaquan 3
kill 2
kills 1
knows 1
lack 1
last 1
later 1
lead 1
leave 1
leaving 1
like 1
lover 1
loyalty 1
mahoney 3
major 1
make 1
making 1
manage 1
many 3
martyr 1
mason 2
mass 1
member 1
merchant 1
met 1
middle 1
minutes 1
mutineers 1
never 1
new 2
newly 1
not 2
now 1
objections 1
of 23
on 3
once 1
one 5
only 2
order 2
ordered 1
other 1
out 1
outlaw 1
over 1
part 1
peace 1
personal 1
pilot 1
planet 2
plans 1
plenty 1
powerless 1
prepared 2
prevented 1
proves 1
provided 1
proving 1
rebels 1
receives 2
region 1
regions 1
rescind 1
resembles 1
restoring 1
rule 1
ruler 3
same 1
secretly 1
sent 2
service 1
sharpshooter 1
ship 1
shock 1
shortage 1
showing 1
shows 1
signs 1
situation 3
sniper 1
so 1
solution 1
special 1
spin 1
stability 1
sten 24
stop 1
stops 1
storm 1
support 1
survive 1
suspicion 1
tacship 2
tahnwar 1
take 1
tasks 2
team 1
that 5
the 28
there 1
they 1
thing 1
this 3
thus 1
time 1
title 1
to 20
treason 1
tries 1
troopers 1
trust 1
trying 1
two 1
under 1
unpleasant 1
upon 1
use 1
various 1
very 1
victory 1
wakeup 1
war 2
warnings 1
was 3
wavering 1
we 2
well 1
when 1
where 1
which 3
while 1
who 3
whole 3
whom 1
whose 1
with 5
world 1
worth 1
years 1
zone 1
