1433541
/m/051532
/m/051532
Sam Shepard


a 25
ability 1
about 6
admit 1
advance 1
after 1
again 1
agreement 1
alaska 2
also 2
an 1
and 43
annoying 1
another 3
appearances 1
appears 2
appease 1
are 5
argues 1
as 5
asks 2
assumes 1
at 5
attempts 1
austin 48
austins 3
authenticity 1
back 2
bad 1
be 7
because 9
been 1
before 1
begin 2
begins 1
begs 1
being 2
bet 2
between 1
bicker 1
both 2
brother 5
brothers 6
but 9
buy 2
by 3
calm 2
cannot 1
cant 1
car 4
careful 1
carrying 1
celebrating 1
celebration 1
characters 1
chosen 1
closes 1
comes 2
coming 1
common 1
completed 1
concentrate 1
confronts 1
confused 1
continually 1
continue 4
continues 2
conversation 3
couldnt 1
crazy 1
create 1
cut 1
dad 1
day 1
deal 1
decides 1
decision 1
departs 1
desert 7
different 1
disarray 1
discussing 1
distracts 1
do 2
does 2
doesnt 2
dominant 1
done 1
door 1
down 3
drifter 1
drinking 1
driven 1
drop 2
drunk 1
due 1
each 2
early 1
edge 1
embarrassed 1
ends 4
estranged 1
eventually 2
exiting 1
face 1
fade 1
family 1
fight 1
film 1
final 1
finally 2
find 3
first 3
fit 1
five 1
for 15
forward 1
from 3
frustrated 1
game 1
gets 2
give 1
gives 2
go 5
going 4
golf 2
golfing 1
good 1
had 1
halt 1
has 6
have 6
he 25
help 1
her 5
hes 2
him 14
his 18
hollywood 1
house 9
housesitting 1
housethis 1
how 2
idea 5
if 2
illegitimate 1
in 14
inform 1
informs 2
into 2
involved 1
is 30
it 4
jealous 1
job 1
just 1
keys 4
kick 2
kicked 1
killed 1
kindly 1
know 1
knowing 1
learn 1
leave 4
leaves 1
lee 47
lees 6
lets 1
level 1
life 1
lifestyle 1
lights 2
likes 1
line 1
lives 1
living 1
look 1
lost 1
lot 1
loud 1
lunch 1
made 1
make 2
makes 2
making 1
married 1
means 2
messes 1
might 1
mom 2
moms 1
more 1
morning 1
most 1
mother 2
mothers 3
moves 1
movie 1
murder 1
murders 1
needs 2
neighborhood 1
neutral 1
next 1
night 1
nonsense 1
not 5
nothing 2
notice 1
now 1
of 10
off 1
offered 1
older 2
on 9
one 5
only 1
operator 2
other 1
others 1
out 8
outline 1
over 1
own 3
pen 1
period 2
phone 1
piece 1
plans 2
play 4
point 2
polishing 1
postpone 1
producer 1
project 1
promises 1
proposes 1
proud 1
questions 2
ransacked 1
real 1
reconnected 1
refuses 2
rejection 1
relationship 1
relevant 1
reluctant 1
resemble 1
resolves 1
returning 1
returns 1
rises 1
rivalry 1
saul 13
saying 1
says 4
scene 5
screen 2
screenplay 7
screenwriter 1
script 4
second 1
security 1
see 1
seem 1
seems 1
seen 2
set 1
she 1
sibling 1
sit 1
sitting 2
six 1
smashing 1
sons 1
stake 1
start 1
starts 3
state 1
steal 1
stole 1
stolen 1
stops 1
storms 1
story 7
strangling 1
suddenly 1
suggests 2
take 1
takes 2
talks 1
television 1
tell 1
tells 5
terms 2
that 18
the 62
their 7
them 1
then 3
there 1
they 6
theyve 1
thief 1
things 1
think 1
thinks 2
this 4
threatening 1
threatens 1
throws 1
time 2
to 50
toasters 1
tries 2
trip 1
true 1
trying 3
two 10
typewriter 1
typing 1
up 1
upset 1
vacation 1
vacationing 1
vigorously 1
walks 1
want 1
wants 2
we 1
went 1
west 1
what 2
when 2
where 1
while 4
who 5
will 3
with 19
woman 1
work 3
working 1
worried 1
wouldnt 1
write 3
writer 2
writing 4
written 1
years 2
younger 1
