3530960
/m/09jt76
/m/09jt76
Barbara Mertz
1975
a 8
abandoned 1
about 1
abroad 1
advisor 1
after 3
akhenaten 1
along 1
also 1
amarna 1
amelia 8
amidst 1
an 1
and 18
another 2
antiquities 1
archaeological 1
archaeologist 1
archaeology 1
art 1
as 6
at 5
attempts 1
attracted 1
because 2
begin 1
believes 1
brothers 1
but 2
by 1
capital 1
cast 1
children 1
city 1
companion 1
complicated 1
conduct 1
continue 1
convinced 2
cousin 1
deal 1
death 2
decide 1
desert 1
destitute 1
determined 1
discover 1
egypt 3
eloped 1
emerson 4
emersons 1
employs 1
enables 1
encounter 1
english 1
entanglements 1
enthusiasm 1
evelyn 5
everything 1
excavating 1
excavation 2
expeditions 1
falls 1
family 1
father 1
female 1
follow 1
for 2
forbes 1
fun 1
get 1
going 1
grandfather 1
grudgingly 1
has 1
have 1
he 1
helps 1
her 13
his 5
history 1
humorous 1
husband 1
ill 1
in 5
inheritance 2
interests 1
is 8
italian 1
keep 1
left 2
loathe 1
love 1
lucas 2
man 1
many 1
marriage 1
marry 2
meets 1
moaning 1
mores 1
mummy 1
must 1
mysterious 1
mystery 1
namely 1
neither 1
never 2
nile 1
nocturnal 1
nor 1
novel 1
novels 1
of 10
off 1
on 1
once 1
one 4
only 1
order 1
orphan 1
own 1
parody 1
peabody 1
period 1
philologist 1
plans 1
point 1
pokes 1
popular 1
proposal 1
pyramids 1
radcliffe 2
reach 1
remote 1
reputation 1
respect 1
respectively 1
rest 1
romantic 1
rome 1
rule 1
sensationalist 1
series 1
shared 1
she 8
shows 1
sideas 1
sight 1
site 1
sites 1
soiled 1
solved 1
stay 1
stereotypes 1
stopping 1
story 1
studious 1
submit 1
suffrage 1
supports 1
taken 1
takes 1
teacher 1
that 1
the 25
then 1
they 5
things 1
through 1
time 1
titled 1
to 11
together 1
tone 1
travel 3
unattractive 1
under 2
unorthodox 1
up 2
various 1
visitations 1
walks 1
walter 2
was 2
way 1
wealthy 1
well 2
when 2
where 2
which 1
while 1
who 2
whose 1
will 4
wing 1
with 5
women 1
