12500374
/m/02w9608
/m/02w9608
Eric Walters
2002
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/06wkf": "Spy fiction"}
11yearold 1
143 1
a 4
about 4
agents 1
almost 1
and 8
anyone 1
anything 1
are 7
around 1
as 2
attacks 1
away 1
brother 1
but 1
by 1
called 1
camp 7
camps 1
cannot 1
caught 2
day 1
defence 1
delivering 1
discover 1
factory 1
figure 1
george 2
german 1
germans 1
get 1
gives 1
his 1
improve 1
in 5
industries 1
jack 2
job 1
killed 1
leader 1
learn 1
limited 1
lives 1
lot 1
means 1
mother 1
move 1
much 1
munitions 1
nearby 1
newspapers 1
oath 1
of 2
off 1
older 1
one 1
ontario 1
out 1
planned 1
proud 1
risk 1
secrecy 1
security 1
sent 1
sign 1
sneak 1
sneaking 1
spots 1
spy 1
success 1
summer 1
tasks 1
tell 1
that 1
the 8
their 3
them 2
they 9
to 4
tortured 1
training 1
trying 1
warn 2
well 1
when 2
which 1
whitby 2
with 2
x 4
