12199883
/m/02vvlhb
/m/02vvlhb
Stuart Hill
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
20 1
a 5
about 4
after 2
again 1
against 4
age 1
allies 2
an 1
and 17
apart 1
are 1
arifica 1
at 2
attacked 1
attacks 1
back 2
banishes 1
battle 2
be 2
because 1
before 1
befriends 1
beheaded 1
bellorum 1
betrayed 1
biggest 1
blade 1
blessed 2
blocks 1
bloodthirsty 1
body 1
book 1
burning 1
but 3
by 4
call 1
called 1
cannot 1
causes 1
cerdic 1
chagrin 1
charlemagne 2
children 1
circle 1
comes 1
continent 1
cressida 2
crown 2
dark 2
daughter 1
defeated 2
desert 4
down 1
early 1
efforts 1
empire 2
eodred 1
exile 1
exiles 1
extraordinaire 1
falls 1
family 1
father 1
final 1
finally 1
fire 1
first 1
five 1
fleet 1
follows 1
for 1
found 1
friends 1
from 1
gift 1
goes 1
hands 1
harm 1
has 2
hatred 1
have 1
he 5
help 2
her 3
him 2
his 5
icemark 3
ill 1
imperial 1
imposing 1
in 2
includes 1
inheritor 1
into 1
invasion 1
is 9
it 2
journey 2
killed 2
later 2
lightning 3
lusu 2
lusuland 1
maggie 2
magical 1
makes 1
married 1
medea 8
mehkmet 1
military 1
much 1
new 1
novel 1
now 1
oasis 1
octavius 2
of 11
off 1
on 4
only 1
or 1
oskan 5
out 1
palace 1
people 5
place 1
plain 1
polio 1
polypontians 1
possesses 1
prince 2
princes 1
princess 1
prophecy 1
queen 1
realms 1
recovers 1
regent 1
repel 1
rips 1
save 1
scipio 2
sea 1
sending 1
sent 3
seventh 1
sharley 6
some 1
son 1
sons 1
southern 1
spirits 1
stay 1
steals 1
storm 1
story 1
stricken 1
sulla 2
sultan 2
takes 1
that 1
the 39
their 1
them 1
then 1
they 1
thirrin 2
this 2
though 1
threat 1
time 1
to 14
toward 1
turn 1
turns 1
tutor 1
twin 1
two 1
unexpected 2
use 1
vampire 1
voyage 1
warrior 2
week 1
when 1
where 2
with 3
women 2
years 1
yet 1
young 1
