24564947
/m/080g1mj
/m/080g1mj
Dr. Frank

a 10
afternoon 1
agonies 1
alcohol 1
all 2
an 2
and 13
andromeda 8
apprentice 1
are 1
as 4
at 1
attempt 2
bagel 1
battle 1
become 2
becomes 1
begins 3
belongings 1
best 1
bestfriend 1
beyond 1
books 1
boyfriend 1
boyfriends 1
brother 1
but 1
byron 1
called 1
calls 1
can 1
cancer 1
cheating 1
clear 1
collection 2
comes 1
coming 1
complete 1
completely 1
confidant 1
confusing 1
conspiracist 1
conveniently 1
crescendo 1
daisy 4
dead 1
deafness 1
died 1
dismisses 1
dreams 1
drugs 1
eager 1
elaborate 1
enlists 1
entire 1
esoteric 1
even 1
exchange 1
exciting 1
facial 1
father 1
feature 1
fellow 1
figure 2
find 1
for 2
former 1
freaky 1
friend 1
friends 2
from 3
futures 1
gathers 1
generally 1
genuchten 1
girl 2
gone 1
grave 1
guy 1
hair 1
hard 1
has 1
head 1
hear 1
hearing 1
help 1
her 16
houses 1
however 1
huggy 1
immediately 1
immersion 1
impressive 1
in 8
increasingly 2
interest 1
is 5
itself 1
job 1
just 2
kind 1
king 1
klein 1
know 1
library 2
list 1
literal 1
local 1
magazines 1
magick 2
makes 1
many 1
meanwhile 1
messages 2
mishears 1
missing 1
more 1
mother 1
myriad 1
mysteries 1
naked 1
nevertheless 1
new 2
occultism 1
of 16
on 4
or 1
out 1
overbearing 1
pace 1
paranoid 1
part 1
partial 1
partner 1
party 1
picks 1
pining 1
plies 1
potential 1
powerful 1
pressingly 1
problems 1
process 1
prophetic 1
readings 2
receive 1
recently 1
remaining 1
rest 1
rosalie 1
sacremento 1
scraps 1
sense 1
set 1
she 7
short 1
sick 1
sight 1
sparking 1
spells 1
st 4
start 2
steve 4
story 1
students 1
subjects 1
such 1
suddenly 1
suitors 1
taking 1
tarot 3
tea 1
teenage 1
tell 1
text 1
thanks 1
that 1
the 12
their 2
them 1
then 1
these 1
this 1
those 1
threatening 1
through 1
to 10
trying 1
unattractive 1
unfortunate 1
up 2
uses 1
van 1
various 1
voice 1
what 1
when 1
which 1
who 3
wipe 1
witchcraft 1
with 6
world 2
worm 1
younger 1
