239007
/m/01jnt5
/m/01jnt5
David Brin
1984
a 11
after 3
also 1
an 4
and 11
another 1
any 1
apart 1
appears 1
are 1
arriving 1
as 4
at 2
attending 1
attractive 1
baskets 1
be 2
beast 2
beasts 1
been 2
before 1
being 1
biologicallyengineered 1
broken 1
by 1
can 1
carry 1
causes 1
change 1
closer 1
condition 1
coordinates 1
created 1
creature 2
critical 1
death 1
decorations 1
dennis 2
deteriorates 1
device 1
discovered 1
dismantled 1
done 1
downside 1
earth 1
effect 4
efficient 1
elusive 1
emits 1
employ 1
encounters 1
eventually 1
example 1
felthesh 2
fictional 1
field 2
finds 3
fix 2
fixed 1
for 1
functioning 1
furniture 1
get 2
happened 1
has 1
have 1
he 5
help 2
higher 1
him 1
his 1
however 2
identify 1
if 4
images 1
improve 1
in 4
instead 1
institute 1
intact 1
into 1
is 13
it 5
its 1
known 2
krenegee 3
last 1
law 1
look 1
looked 1
manipulation 1
many 1
maximum 1
members 1
mentor 1
might 1
mirrors 1
missing 1
months 1
more 5
most 1
move 1
name 1
not 1
nuel 1
object 2
objects 1
of 14
off 1
on 1
one 3
operational 1
order 1
other 2
our 1
out 1
over 2
own 1
part 1
parts 1
perfection 1
pioneering 1
planet 2
point 1
possessions 1
practice 7
present 1
problems 1
process 2
professor 1
project 1
put 1
reaches 1
recorded 1
referred 1
rerecruited 1
research 1
respects 1
result 1
robot 1
robots 1
scientific 2
scientist 1
sent 2
servants 1
sharper 1
similar 1
so 1
society 1
space 2
sped 2
still 1
strata 1
stronger 1
surveillance 1
swords 1
system 1
take 1
taken 1
takes 1
than 1
that 8
the 29
their 1
them 1
thermodynamics 1
they 3
things 1
this 7
three 1
through 2
time 4
to 18
trance 2
two 1
under 4
up 2
use 3
uses 1
very 1
view 1
volunteers 1
was 1
wearing 1
were 1
what 1
which 1
while 1
with 1
work 1
working 1
works 1
world 3
you 1
zievatron 4
zievatronics 1
