4386
/m/01dqt
/m/01dqt


{"/m/02mdj1": "Religious text"}
3000 1
32 1
500 2
7000 1
a 7
about 1
adversary 1
afflict 1
alieua 1
all 1
am 1
an 1
and 23
angry 1
answers 2
anything 1
are 2
around 1
arrival 1
as 6
ashes 1
asks 1
at 1
away 1
barakal 1
be 1
because 2
begins 1
behold 1
being 1
ben 1
bildad 1
blessed 2
boils 1
book 1
born 1
breaks 1
broken 1
burned 1
burnt 1
but 5
buzite 2
by 4
calamities 1
came 1
camels 1
carried 1
chaldeans 1
chapter 1
children 1
clothes 1
come 1
consider 1
console 1
constantly 1
curse 3
cursed 1
curses 1
daughters 1
day 1
days 1
described 1
destroyed 2
dialogue 1
die 1
does 2
donkeys 1
dont 1
dreadful 1
elihu 1
eliphaz 1
ends 1
endures 1
enough 1
everything 1
evil 1
extremely 1
family 1
favourite 1
fearing 1
fell 1
fire 1
firstborn 1
fishhook 1
foolish 1
for 1
formed 1
fourth 1
friends 3
from 2
given 1
gives 1
god 17
good 1
greater 1
ground 1
habitually 1
had 1
hand 2
has 4
have 2
he 5
head 1
health 1
hearts 1
heb 1
him 5
his 12
house 1
how 2
i 3
if 1
in 7
instead 1
is 6
job 18
killing 1
know 1
last 1
leviathan 1
life 1
literally 1
livestock 1
lord 3
man 1
many 1
may 1
me 1
mighty 1
moreover 1
mother 1
much 2
my 1
naamathite 1
naked 2
name 1
named 1
nature 1
new 1
not 5
of 11
off 1
offerings 1
offers 1
on 2
one 1
only 1
opinion 1
or 1
out 2
oxen 1
pain 1
pardon 1
permission 2
person 1
pious 1
plays 1
possessions 1
pottery 1
present 1
prompts 1
prosperity 1
prosperous 1
pull 1
put 1
rebukes 1
receive 2
reproaching 1
responds 1
restored 1
return 1
right 1
righteous 1
righteousness 1
role 1
sabeans 1
satan 6
saying 2
says 3
scrapes 1
seated 1
see 1
servant 1
seven 2
shall 3
shaves 1
sheep 1
should 1
shuhite 1
significant 1
silence 1
sinned 1
sins 1
sitting 1
skin 1
sky 1
smites 1
so 1
solicits 1
sons 3
speak 1
speaks 1
spend 1
spoken 1
still 1
stolen 1
story 2
stretch 1
strike 1
strong 1
suffering 1
surely 1
taken 1
talking 1
tears 1
tells 1
temanite 1
ten 1
test 1
than 1
that 6
the 24
their 2
themselves 1
then 2
there 1
therefore 1
these 1
they 1
things 1
this 1
three 3
thunderstorm 1
to 9
touch 1
twice 1
up 1
very 1
wall 1
was 2
we 1
well 1
were 1
what 1
which 1
who 1
wife 1
wind 1
with 8
without 2
womb 1
works 1
world 1
would 1
yoke 1
you 3
your 1
zophar 1
