2584738
/m/07prhy
/m/07prhy
Charles Major

a 3
and 2
arranged 1
brandon 1
charles 1
commoner 1
demands 1
during 1
england 1
english 1
fallen 1
first 1
flower 1
for 2
france 2
give 1
has 2
head 1
henry 2
her 1
his 1
history 1
house 1
however 1
i 1
in 2
king 2
knighthood 1
louis 1
love 1
marry 1
mary 1
of 6
period 1
political 1
present 1
put 1
reasons 1
set 1
sister 2
tells 1
the 3
threatening 1
to 1
tribulations 1
tudor 3
viii 1
was 1
wed 1
wedding 1
when 1
who 1
will 2
with 1
xii 1
you 2
younger 1
