6327841
/m/0g16c7
/m/0g16c7
Anthony Horowitz
2007
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/03k9fj": "Adventure"}
a 25
about 1
accident 1
accidental 1
afghan 1
after 4
against 1
agent 2
agents 2
aircraft 1
alex 24
along 1
an 4
and 25
angel 1
another 1
are 4
area 1
arena 1
ark 1
as 7
ash 6
asian 1
asis 2
assassinate 1
assistant 2
at 5
attacks 1
attempts 1
australia 3
australian 3
await 1
bangkok 1
barbecue 1
base 1
battery 2
be 4
became 1
before 2
being 1
ben 4
best 1
blue 5
board 1
boat 1
bomb 3
bone 1
botched 1
boxing 1
break 1
brooke 2
brush 1
but 1
by 10
calls 1
can 1
captured 1
carrier 1
caught 1
celebrities 1
centre 1
charged 1
chinatown 1
circuit 1
coast 1
codenamed 1
coerces 1
coin 2
coins 1
conference 1
confront 1
contact 2
container 1
containers 1
control 1
courage 1
criminal 1
cuts 1
daniels 2
days 1
dealer 1
deaths 1
defence 1
despite 1
detonated 1
detonates 1
dinner 1
director 1
discover 1
discovers 1
disguises 1
do 1
donor 1
double 1
doubling 1
down 1
drug 1
due 1
eagle 1
early 1
eight 1
end 1
ended 1
escape 2
escapes 4
ethan 2
events 1
eventually 1
explains 1
exploding 1
explores 1
fact 1
factory 1
falling 1
falls 1
father 1
few 1
field 1
fighter 1
final 1
find 2
finds 1
fingerprints 2
following 1
for 3
forces 1
forcing 1
fragile 1
francisco 1
friend 1
friends 1
from 4
g8 1
gang 1
give 1
given 1
go 1
godfather 1
goes 2
gone 1
guest 1
had 1
harmlessly 1
have 2
hawk 1
he 11
head 3
held 1
helping 1
him 3
himself 1
hired 1
his 13
historytype 1
hospital 2
hostage 1
hosting 1
housekeeper 1
how 1
identify 1
identities 1
illegal 2
important 1
in 9
incites 1
indonesia 1
indonesian 1
intelligence 1
into 8
investigate 1
invited 1
is 21
island 2
it 3
jack 1
jakarta 1
journey 1
kayaking 1
kill 1
killed 1
kitty 1
knocked 1
known 1
kopassus 1
lands 1
later 3
learns 1
liberian 1
lights 1
loaded 1
look 1
machine 1
major 1
make 2
manages 2
meanwhile 1
member 2
members 1
mi6 2
military 1
ministry 1
mission 2
moments 1
moved 1
muay 1
must 1
mysterious 1
next 1
no 1
northwest 1
not 1
novel 1
of 18
off 2
oil 2
old 1
on 8
once 1
one 2
only 1
onto 2
orchestrated 1
organ 1
organization 1
osteoporosis 1
out 1
outer 1
over 2
own 1
owned 1
pacific 1
paid 1
pairing 1
part 1
person 1
picked 1
picks 1
plan 1
pleasure 1
port 1
possession 1
poverty 1
powerful 1
prototype 1
prove 1
put 2
rainforest 1
recovers 1
reef 1
refugees 2
reputation 1
rescued 1
research 1
resulting 1
revealed 2
rider 1
rig 2
ring 1
riot 1
river 1
royal 5
sabina 1
same 1
san 1
sas 2
scanning 1
scans 1
scorpia 4
sea 2
secret 1
see 1
sees 1
sent 3
separate 1
separated 1
service 1
ship 4
shock 1
shoots 1
shorts 1
shot 1
sinking 1
smuggle 2
snakehead 9
soldiers 1
sole 1
someone 1
south 1
space 2
special 1
spitting 1
stamina 1
star 1
starbright 1
steal 1
step 1
still 1
story 1
strike 1
structure 1
stumbled 1
suggests 1
summit 1
sunthorn 2
surprised 1
surrender 1
take 2
taken 1
tea 1
team 1
test 1
thai 1
that 4
the 46
their 3
them 2
then 3
there 1
they 5
this 3
time 1
to 29
tough 1
toughest 1
toy 1
trainers 1
transplants 1
travels 2
triggers 1
trip 1
two 2
unconsciousness 1
unexpected 1
up 4
us 1
used 1
using 4
uss 1
victory 1
wakes 1
war 2
was 2
watch 1
water 1
wave 1
way 1
weapons 1
when 2
where 4
which 3
while 1
who 5
will 3
willing 1
wins 1
winston 1
with 6
yet 1
yu 8
zone 1
