7054247
/m/0h250z
/m/0h250z
Mohsin Hamid
2000
a 4
acceptable 1
affair 1
after 1
aggression 1
all 1
among 1
an 2
and 5
are 1
arms 1
as 3
at 1
banker 1
becomes 1
begins 1
best 2
between 1
bitterness 1
brings 1
but 2
can 1
classmates 1
collegeboxer 1
comes 2
comfort 1
commentary 1
content 2
contrast 1
control 1
cuckolding 1
darashikoh 1
daru 7
drugs 1
duplicity 1
evident 1
exposes 1
falls 1
finds 1
fired 1
for 1
fore 1
forefront 1
friend 2
friends 2
fuse 1
gap 1
gets 1
had 1
he 3
him 4
his 9
idealist 1
in 4
income 2
interact 1
is 5
leads 1
life 2
long 1
loss 2
mean 1
midlevel 1
mismatch 1
money 1
more 1
mumtaz 2
not 1
now 1
of 5
offer 1
only 1
or 1
outburst 1
outofcharacter 1
personal 1
present 1
realise 1
referred 1
rich 1
rocky 1
same 1
school 1
sell 1
served 1
she 1
short 1
socially 1
soon 1
spiralling 1
than 1
that 1
the 7
their 1
this 3
though 1
thought 1
through 1
to 9
too 1
traits 1
unlike 1
wealth 1
wealthy 1
well 1
which 1
while 1
widening 1
wife 1
with 2
years 1
