27525614
/m/0c0299g
/m/0c0299g
Edward Klein

10 1
167 2
5 1
a 9
act 1
action 1
actual 3
after 1
afterwards 1
aim 2
air 2
allowed 1
alon 1
an 2
and 9
any 1
appointment 1
arab 6
are 2
armies 2
around 1
as 4
assumption 1
atrocities 1
attack 3
aviv 1
away 1
be 1
been 1
being 2
benefit 1
between 1
book 5
british 1
but 1
by 3
campaign 1
case 1
characters 1
clandestine 1
commanded 1
committed 1
conquer 1
constantly 1
country 1
criminals 1
day 1
dayan 1
depicted 1
depictions 2
despite 1
destroy 1
detailed 2
divergence 1
does 1
egypt 1
egyptian 1
embroiled 1
ends 1
entire 1
eventually 1
ever 1
evident 1
exact 1
except 1
execution 1
extensive 1
far 1
fictional 1
first 1
for 2
force 1
forces 1
from 4
futile 1
get 1
ground 1
guerrilla 1
had 2
happened 1
harsh 1
having 2
helping 1
history 2
holding 1
homes 1
image 1
implication 1
in 11
including 1
independence 1
international 2
is 5
israel 4
israeli 3
it 3
its 1
jordan 1
june 2
justifying 1
launch 2
laying 1
lebanon 1
lighting 1
long 1
mandate 1
maps 1
mass 1
media 1
meeting 1
might 1
militia 1
mirror 1
moshe 1
multiple 1
nazi 1
netherlands 1
no 2
nor 2
numerous 2
occupiers 2
of 13
on 1
one 1
openly 1
opinion 1
other 2
own 1
palestinian 1
palestinians 1
palmach 1
partitioned 1
planes 1
plans 1
point 1
points 1
police 1
pre148 1
proclaimed 1
public 2
quotations 1
rape 1
rather 1
refugees 1
regain 1
relatively 1
return 1
rule 2
run 1
save 1
secret 1
semidocumentary 1
sending 1
shifting 1
six 1
some 1
state 1
struggle 1
surprise 1
syria 1
syrianoccupied 1
takes 1
tel 1
territory 2
than 1
that 2
the 30
their 2
there 1
these 1
this 1
though 1
three 1
thus 1
tiberias 1
to 5
tone 1
under 2
upbeat 1
us 1
valiant 1
victorious 1
victory 1
vietnam 1
view 1
war 3
way 2
which 1
who 1
with 3
women 1
would 1
writers 1
written 1
yigal 1
