5812965
/m/0f6m68
/m/0f6m68
Walter R. Brooks

{"/m/0dwly": "Children's literature"}
a 16
after 1
agreed 1
all 2
also 2
an 1
and 18
animals 10
ants 1
arrived 1
assembly 1
at 1
away 2
back 3
barnyard 2
bean 2
bear 1
began 1
beginning 1
bring 1
brought 1
but 3
by 4
called 1
came 2
canada 1
captain 1
captured 1
cat 1
charles 3
chased 1
children 2
claus 3
clauss 2
clothing 2
company 2
conducting 1
could 1
crew 2
crow 1
discovered 1
dog 1
doing 1
drive 1
eat 1
establish 1
everything 1
expedition 1
factory 1
farm 1
ferdinand 3
few 1
finally 1
food 3
for 7
forgot 1
formed 2
found 3
four 1
freddy 7
from 1
get 1
ghosts 1
go 1
going 1
gone 1
grim 1
had 3
he 4
help 1
him 2
himself 1
hooker 1
house 2
however 2
idea 2
in 5
inc 1
instead 1
into 1
irregular 1
it 3
jack 2
jinx 2
joined 1
later 3
leave 1
lecture 1
left 2
line 1
looked 1
make 1
managed 1
map 2
might 1
minute 1
mob 1
mr 2
normal 1
north 1
of 6
off 1
on 1
one 1
or 1
ordinary 1
organized 1
other 1
party 2
passed 1
pay 1
planning 1
played 1
pole 1
problem 1
rescue 2
rooster 1
said 2
sailor 1
sailors 5
santa 5
scared 1
sent 1
set 1
ship 2
shown 1
sick 1
so 1
some 2
soon 2
speech 1
suddenly 1
suggested 1
that 2
the 35
then 2
there 1
they 6
thought 1
tired 1
to 12
took 2
tour 2
tourism 1
tours 2
treasure 1
tried 2
triggered 1
trip 1
try 1
trying 1
turn 1
two 2
up 1
wandered 1
was 3
wasnt 1
weeks 1
went 1
were 4
whole 1
with 4
wolves 2
woods 3
work 1
workshop 2
worry 1
would 1
year 1
