3381920
/m/098p74
/m/098p74
Beverly Cleary
1968
a 6
accomplish 1
and 13
another 1
any 2
anyone 1
arrives 1
at 1
athough 1
back 2
baddest 1
be 1
because 1
beezus 2
behave 1
behind 1
bench 1
best 1
binney 4
bounce 1
but 2
by 1
calls 1
can 2
cans 1
catch 1
change 1
chases 1
class 4
create 1
curls 3
davy 1
day 2
decides 1
do 1
does 2
doesnt 1
dog 1
doing 1
drawing 1
during 1
easy 1
else 1
especially 2
everyone 1
excited 1
eyes 1
fat 1
finally 2
finds 1
follow 1
forced 1
forth 1
from 1
gets 2
girl 1
go 3
going 1
halloween 1
happy 1
has 1
her 15
hides 1
him 2
home 1
in 7
interested 1
interesting 1
is 11
isnt 1
it 2
just 1
keep 1
kindergarten 4
kiss 1
kisses 1
letter 2
like 1
likes 1
long 1
lot 1
love 1
manages 2
mean 1
mind 1
miss 4
more 1
named 1
new 1
nice 1
not 1
nothing 1
of 1
office 1
older 1
on 2
one 2
over 1
own 1
parade 1
participates 1
person 1
pest 2
praises 1
principal 1
pull 1
pulling 1
q 1
quietly 1
quimby 1
ramona 14
really 1
recess 2
refuses 1
retaliates 1
return 1
ribsy 1
says 1
seat 1
seeing 1
seems 1
sends 1
sent 1
she 15
signed 1
sit 1
so 1
springy 1
starting 1
still 3
substitute 1
susan 3
takes 1
teacher 3
than 1
that 1
the 9
then 1
there 1
those 1
to 18
too 1
trash 1
tries 1
trouble 2
trying 2
until 4
wants 1
watch 1
way 1
well 1
what 1
when 6
which 1
whole 1
witch 1
with 2
without 2
wont 1
work 2
world 1
year 1
