239433
/m/01jqms
/m/01jqms
Malcolm Bradbury
1975
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
150s 2
163 1
167 1
170s 1
a 23
about 1
according 1
accusation 1
admire 1
advanced 1
affairs 1
afford 1
after 1
against 1
all 2
allowed 1
already 1
also 1
among 1
an 3
anal 2
and 13
answer 1
any 1
apart 2
apparent 1
appointed 1
are 3
as 6
associate 1
astrology 1
at 8
attempts 1
barbara 8
bare 1
based 1
be 2
beamish 1
beard 1
bedsit 1
been 1
before 1
begins 1
being 3
beniform 1
birth 1
blazer 1
both 2
bound 1
bourgeois 1
but 1
by 1
called 1
calls 1
can 2
cancelling 1
cannot 1
casual 1
characters 1
childless 1
chronicles 1
class 3
clinic 1
colleagues 1
concept 1
concerning 1
conservative 1
consider 1
considering 1
convinced 1
couple 1
day 1
days 1
defines 1
department 1
describes 1
despite 1
develops 1
do 1
does 1
dr 1
during 3
early 1
economic 1
educational 1
egyptian 1
elicit 1
end 2
endofterm 1
ends 1
especially 4
even 1
events 1
example 1
expelled 1
faculty 1
female 1
few 1
finally 1
finished 1
fling 1
flora 1
food 1
for 4
formal 1
friends 2
from 7
front 1
further 2
generating 1
gets 2
giving 1
goes 1
got 1
graduation 1
grew 1
gross 1
growing 1
grows 1
guests 1
happen 1
has 7
have 1
having 4
he 13
health 1
heavy 1
henry 1
hero 1
him 4
his 12
historical 2
history 1
hope 1
house 1
howard 16
hypocrisy 1
i 1
if 1
improved 1
in 15
inevitability 1
information 1
insists 1
institution 1
intellectuals 1
intent 1
interest 1
interested 1
interrupted 1
into 4
irrelevance 1
is 13
job 1
kinds 1
kirk 2
kirks 6
large 1
largely 1
learn 1
least 1
lecturer 2
leeds 1
life 2
like 1
likes 1
lives 1
living 1
london 1
look 1
lots 1
macintosh 1
make 2
makes 1
male 1
many 2
march 1
marriage 2
married 1
meet 1
members 1
men 1
metamorphose 1
metamorphosed 1
methods 1
middleclass 1
might 1
mind 1
moral 1
more 2
mornings 1
most 1
myra 1
necessities 1
new 3
newlyfounded 1
nonmarxist 1
not 1
novel 3
number 1
numbers 1
nuns 1
of 25
off 2
old 1
on 5
one 5
onward 2
opportunity 1
others 1
out 1
over 1
own 1
paper 2
participants 1
parties 2
partners 1
party 2
past 1
people 2
permissive 1
persecute 1
philosophy 1
picture 1
place 1
point 1
pot 1
pregnant 2
prepared 1
present 1
process 1
professionally 1
promiscuity 1
provide 1
psychologist 1
questions 1
radical 2
radicalising 1
raping 1
rather 2
regularly 1
religious 1
repressed 1
research 1
right 2
rooms 1
round 1
sacked 1
saturday 1
selects 1
seminar 1
series 1
set 1
sex 3
sexual 1
she 2
shock 1
shopping 1
shrugs 1
sleeps 1
small 2
smoke 1
social 1
society 1
sociologist 1
some 1
spontaneous 1
stable 1
start 2
still 2
student 5
students 3
succeeds 1
success 1
suicide 1
summer 1
supporting 1
takes 1
term 1
than 2
that 5
the 40
their 7
them 2
there 4
these 1
they 5
thing 1
things 1
thinking 1
third 1
this 3
those 1
thought 1
throw 1
tie 1
to 12
together 2
told 1
tolerance 1
town 1
traditional 1
train 1
trajectory 1
triggers 1
trips 1
trouble 1
turn 1
turpitude 1
type 1
unconventional 1
unhappy 1
university 6
up 1
usually 1
vague 1
very 1
virgin 1
vivid 1
was 1
watch 1
watermouth 1
way 1
we 1
wearing 1
weekends 1
well 1
what 3
when 7
where 1
whereas 1
which 3
while 1
who 5
whom 1
whose 1
wicked 1
wife 2
with 5
without 3
work 2
working 1
workingclass 1
year 1
years 2
yet 1
young 1
zero 1
