19125174
/m/04jj801
/m/04jj801
William Hemings

a 7
abused 1
admitting 1
alarm 1
alive 1
all 1
an 1
and 21
aphelia 8
are 4
arrives 1
as 6
assisted 1
backstory 1
been 2
binds 1
blamed 1
break 1
breast 1
brother 3
brutal 1
busily 1
but 5
by 3
called 1
carried 1
castle 1
castrato 11
chamber 1
characters 2
child 1
childerick 3
chrotilda 4
clodimer 1
clotair 14
clovis 11
concealed 1
conclusion 1
contract 1
convinced 1
corpses 1
dagger 1
dead 2
death 1
die 1
discovered 1
disguised 1
disguises 1
displays 1
dumain 3
dying 1
earliest 1
eggs 1
elder 1
envious 1
escape 2
eunuch 2
evade 1
execute 1
exterminating 1
falls 1
family 2
fatal 1
father 1
ferdigond 1
fight 2
fire 1
for 2
foul 1
fredigond 8
french 1
frenzy 1
ghost 3
grandmother 1
group 1
has 4
he 3
helps 1
her 10
him 7
his 6
husband 1
identity 1
imprisoned 1
in 10
indicates 1
infant 1
informs 1
inherit 1
initially 1
innocent 1
instead 1
intentions 1
intercepts 1
into 2
is 13
killed 1
killing 1
kills 1
king 2
kingdom 1
lamot 4
landrey 5
literateness 1
love 1
lover 2
macabre 1
maintains 1
manage 1
manipulating 1
marrying 1
masquerades 1
mdash 2
members 2
mistakenly 1
monarchy 1
moorish 1
mother 1
named 1
noblemen 1
now 2
of 12
off 2
on 4
once 1
one 1
other 1
over 1
painting 1
paints 1
paramour 1
parents 1
party 1
period 1
placate 1
plan 1
plans 1
play 5
poisoned 2
poisons 1
portrait 1
presumably 1
prince 1
queen 8
quietly 1
rage 1
raises 1
rape 1
raped 1
rapist 1
rather 1
relatives 1
responds 1
reveals 1
revenge 1
room 1
rule 1
sears 1
set 1
sets 1
she 6
sides 1
sister 1
sits 1
sons 1
stabs 4
starves 1
state 1
still 1
stop 1
sudden 1
supporters 1
surgeon 1
systematically 1
terrifies 1
than 1
that 7
the 34
their 3
them 3
then 1
they 1
thinking 1
throne 1
to 9
tortures 1
touch 1
trick 1
tries 1
trips 1
true 1
trying 1
turns 1
two 1
unable 1
understands 1
unfaithful 1
villainess 1
villainy 1
virtuous 1
wants 1
weakened 1
who 5
wife 2
will 3
with 6
wounded 1
young 1
