60878
/m/0gjjf
/m/0gjjf
James Goldman

1173 1
1183 2
a 1
accurate 1
actions 1
adelaide 1
age 1
alais 3
also 1
although 1
and 5
angevin 1
anjou 1
aquitaine 1
are 1
arrival 1
at 4
augustus 1
basis 1
become 1
been 1
betrothed 1
between 1
but 1
by 1
castle 1
children 1
chinon 2
christmas 3
claim 1
concerns 1
court 3
definitive 1
dialogue 1
during 1
eight 1
eleanor 3
empire 1
england 1
events 1
evidence 1
exhusband 1
fictional 1
france 2
gamesmanship 1
generally 1
geoffrey 1
guest 1
had 2
halfsister 1
has 3
he 1
henry 6
his 1
historical 1
however 1
ii 2
illegitimate 1
imprisoned 1
in 3
involved 1
is 4
john 1
king 1
later 1
leading 1
lion 1
louis 1
many 1
marrying 1
mistress 2
mistresses 1
no 1
none 1
not 1
of 8
on 1
opens 1
philip 2
play 1
real 1
resisted 1
richard 3
set 1
several 1
she 1
since 3
son 1
sons 1
story 2
surviving 1
that 1
the 12
their 2
there 2
third 1
this 1
three 1
to 2
up 1
vii 1
was 4
who 2
whom 1
wife 2
winter 1
with 1
