7835100
/m/026fpz4
/m/026fpz4
Gabrielle Roy
1945
{"/m/02xlf": "Fiction"}
140 2
a 5
agrees 1
ambitious 1
an 1
and 3
at 2
attraction 1
better 1
between 1
by 2
consequences 1
date 1
depression 1
despite 1
difficult 1
dreams 1
during 1
ego 1
emmanuel 2
falls 2
family 1
february 1
five 1
florentine 4
friend 1
from 1
get 1
great 1
have 1
he 1
helping 1
her 3
his 1
important 1
in 6
introduces 1
is 4
jean 3
lacasse 2
leave 1
life 3
love 2
ltourneau 1
lvesque 1
machinistelectrician 1
made 1
may 1
montreal 1
neighbourhood 1
novel 1
of 3
on 1
parallel 1
parents 1
place 1
poor 1
poverty 1
principally 1
quebec 1
quickly 1
relationship 1
restaurant 1
sainthenri 1
satisfy 1
second 1
soldier 1
still 1
story 1
suffering 1
takes 1
ten 1
that 1
the 8
their 1
this 1
thread 1
time 1
tiring 1
to 3
towards 1
waitress 1
wanting 1
war 1
when 1
who 2
will 1
with 2
withered 1
world 1
young 1
