17736688
/m/047c0kl
/m/047c0kl
Terry Brooks
2008-08-26
a 21
ability 1
about 1
across 1
advancing 1
affirm 1
after 5
again 1
against 1
all 1
along 1
an 3
and 34
angel 8
arborlon 6
are 4
army 4
arrive 1
as 5
at 2
attack 1
attacked 1
attackers 1
audience 1
awaiting 1
back 1
balloon 1
be 1
before 3
being 2
blind 1
blow 2
blue 1
both 1
bridge 2
bring 1
brings 1
brought 1
bubble 1
bunker 1
but 2
by 8
called 2
camp 9
can 2
candle 1
captured 1
caravan 2
catalya 1
catches 1
chance 1
cheney 3
child 1
choosing 1
city 4
climbs 1
columbia 1
comatose 1
commander 1
companions 1
completes 1
comrade 1
confronts 1
contingent 1
continues 1
convinced 1
council 2
create 1
cripples 1
danger 2
deal 1
decide 1
decides 1
defend 1
defending 1
demon 12
demons 2
destroying 1
detonation 1
devastated 1
discover 1
disguise 1
distance 1
drained 1
drop 1
due 1
each 1
earthquake 1
eastward 2
elf 1
elfstone 1
elfstones 2
ellcrys 1
elven 5
elves 2
emerges 1
encapsulates 1
encase 1
encounter 1
engages 1
enter 1
entire 2
enveloping 1
equipment 1
escape 3
evade 1
eventually 2
explosion 1
exposure 1
fails 1
fallen 1
falls 1
finally 2
find 1
findo 5
finds 3
finishing 1
fixit 1
flees 2
flying 1
following 2
for 6
forces 1
form 1
found 1
friends 1
frightening 1
from 7
gain 1
gask 3
generate 1
ghost 1
ghosts 8
give 1
given 1
gives 1
giving 1
gone 1
grasp 1
groups 1
guardian 1
has 2
hawk 10
he 5
heads 1
heal 1
healed 1
healing 1
helen 1
help 3
her 7
hiding 1
high 1
him 2
himself 1
his 7
hold 1
hope 1
hotair 1
however 1
human 1
in 13
including 1
inhabitants 1
instantly 1
instructed 1
interrogation 1
into 2
invisible 1
is 17
it 3
its 3
just 1
kill 1
killed 2
kills 1
king 3
kirisin 8
klee 7
larkin 4
later 2
launches 1
leave 3
leaves 3
leaving 1
led 1
life 1
live 1
lives 1
lizard 1
location 1
loden 6
logan 11
long 1
lookout 1
love 2
mad 1
magic 7
main 1
make 3
manage 1
manages 2
massive 1
meanwhile 2
mechanism 1
meets 1
member 1
military 1
militia 1
misshapen 1
missile 1
mist 2
monstrous 1
most 1
mountains 1
move 1
must 1
mutants 1
named 1
narrow 1
north 1
not 1
now 1
nuclear 2
occurs 1
of 14
off 1
officer 1
old 1
on 2
order 2
other 1
outside 2
owl 1
own 2
panther 1
perez 2
picking 1
point 1
position 1
possible 1
powers 1
pregnant 1
preparations 1
pristine 1
protected 1
protection 1
pursuers 1
put 1
quill 2
radiation 1
recounts 1
refugee 3
refugees 4
reject 1
release 1
remain 1
repair 1
rescue 1
rescued 1
return 4
reunited 2
revealed 1
reveals 1
rice 1
riding 1
river 1
safe 2
safety 1
search 2
searching 1
secretly 1
seeking 2
seems 1
senses 1
sent 1
separated 1
several 1
shape 1
she 3
shifting 1
simralin 9
skeptical 1
skirmish 1
skrail 1
skrails 1
slowly 1
small 2
so 1
some 2
still 1
stone 2
struggle 1
succeed 1
suddenly 1
swallows 1
taken 1
tessa 3
that 7
the 93
their 5
them 1
then 5
there 1
they 11
this 1
three 1
time 3
to 34
together 2
tom 2
towards 2
track 1
tracker 2
tragen 2
transformation 1
transported 1
trapped 1
travel 3
travelers 1
travels 1
tree 1
tribe 1
tricks 1
trim 1
turning 1
two 1
ultimately 1
unknown 1
until 1
up 3
use 2
uses 6
using 1
valley 4
various 1
violently 1
vision 1
waiting 1
was 1
way 2
weaken 1
weapons 1
weeks 1
well 1
when 3
where 3
which 4
while 2
who 3
wild 1
wilderness 1
will 2
winter 1
with 10
within 4
wolfdog 1
won 1
world 2
worried 1
