2082295
/m/06kz09
/m/06kz09
Roald Dahl
1970
a 9
about 1
accompany 1
acquire 1
all 1
along 2
although 1
an 1
and 15
animals 1
anthropomorphic 1
apple 1
are 4
around 1
as 1
at 2
attempt 1
available 1
back 2
badger 1
bean 4
being 2
beneath 1
beside 1
blasting 1
boggis 3
bunce 3
burrow 1
burrowing 2
by 7
carry 2
caterpillar 1
celebratory 1
cellar 1
certain 1
cheers 1
chickens 1
children 2
cider 2
clever 1
collect 1
cornered 1
creatures 1
cruel 1
daily 1
day 1
decide 1
destination 1
devise 1
devises 1
dig 1
dimwitted 1
dirt 1
discovered 1
distance 1
each 1
earth 1
emerge 1
emerges 1
enemy 1
enters 1
escape 1
everyone 2
families 2
family 4
farm 2
farmers 4
farms 1
feed 1
few 1
findings 1
food 3
for 6
fortunately 1
four 1
fox 12
friend 1
from 2
further 1
gather 1
great 1
group 1
guns 1
had 1
he 5
henhouse 1
her 1
him 6
hired 1
his 13
hole 3
home 2
hunt 1
idea 1
in 4
into 1
invites 1
is 1
jars 1
joyfully 1
just 1
kill 1
kills 1
left 2
live 1
lives 1
livestock 1
longer 1
mabel 1
makes 1
man 1
manages 1
meal 1
mission 1
mr 8
mrs 1
named 3
nearly 1
need 1
neighbourhood 1
next 1
nightly 1
no 1
of 6
off 1
on 3
one 1
only 1
or 1
order 3
other 1
outsmarted 1
owned 1
permits 1
persistence 1
plan 1
planned 1
plot 1
pointed 1
predators 1
prepare 1
proceeds 1
respective 1
revolves 1
ridiculed 1
rivals 1
room 1
runs 1
safety 1
secret 1
sends 1
served 1
several 1
she 1
shoot 3
shots 1
smorgasbord 1
snatches 1
sneaking 1
so 1
some 1
starve 1
starving 1
story 1
successfully 1
suddenly 1
table 1
tail 1
tents 1
the 17
their 5
them 1
then 1
they 3
this 1
three 1
through 1
tired 1
to 26
tractors 1
tree 1
tricky 1
trio 1
tunnel 2
underground 4
up 3
using 1
visits 1
waiting 1
way 1
when 2
where 3
whereas 1
who 1
wicked 1
wife 1
will 1
wind 1
with 4
woman 1
worry 1
young 1
