9359876
/m/0285w2l
/m/0285w2l
MaryJanice Davidson

{"/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/072lff": "Paranormal romance"}
a 9
abilities 1
accepts 1
across 1
adores 1
after 7
again 1
alive 1
all 3
almost 1
alpha 4
also 1
an 3
and 22
another 1
answering 1
antonia 3
arrival 2
arthur 9
as 4
ask 1
at 1
attacked 1
barges 1
because 5
become 1
been 1
before 2
benign 1
between 1
black 1
blood 2
body 1
born 2
boston 1
both 1
breaking 1
brought 1
but 8
by 13
cajole 1
california 2
calling 1
can 1
cant 2
captured 1
car 1
care 2
cementing 1
cheated 1
chosen 6
clinically 1
coincidence 1
completely 1
confess 1
convincing 1
could 1
couldnt 1
country 2
couple 1
cpr 1
cummings 1
day 1
days 2
dead 1
demon 2
derek 1
derik 14
destroy 1
developed 1
did 1
didnt 1
die 1
dinner 1
discovers 1
diversion 1
do 1
doctor 2
doesnt 1
doing 1
draining 1
due 1
during 2
each 1
earth 1
end 2
ends 1
enters 1
event 1
eventually 1
ever 1
everyone 2
extinguished 1
fails 1
falls 1
fated 1
fight 2
finally 1
find 1
finish 1
first 2
fond 1
foot 1
for 2
forced 1
free 1
from 2
give 2
go 1
goal 1
gorgeous 2
gotten 1
greeted 1
group 1
gunn 1
had 1
half 1
halftruth 1
happen 1
has 8
have 4
having 2
he 10
healed 1
healing 1
her 13
him 5
his 8
however 2
if 2
immediately 1
in 10
initially 2
intention 1
interfere 1
interrupted 1
into 4
is 14
it 5
jeannie 1
keep 1
kicking 1
kill 5
killed 1
killing 1
kills 1
king 3
known 1
lair 1
lefay 2
less 1
lies 1
life 1
likely 1
literally 1
love 1
loving 1
luck 2
lucky 2
magic 2
mansion 2
married 1
marry 1
mass 1
massachusetts 1
mean 1
means 1
mechanic 1
medical 1
mentor 1
michael 5
minutes 1
miserably 1
monterey 1
more 1
morgan 2
most 2
named 1
namely 1
nearlyimpossible 1
neck 1
need 1
next 2
no 1
not 5
now 1
odd 1
of 17
off 1
on 2
one 1
only 1
or 2
ordered 1
other 1
others 1
otherwise 1
out 3
over 2
pack 1
points 1
posing 1
possibly 2
powerful 2
predicament 1
prediction 1
private 1
proposal 1
proposes 1
prove 1
psychic 1
pure 1
put 1
question 1
rather 1
realizing 1
reanimate 1
recently 1
reincarnation 2
rejects 1
release 1
reluctant 1
resurrect 1
resurrection 2
returns 1
revealed 1
romance 1
rv 1
safe 1
salem 1
sara 17
save 1
saved 1
saving 1
screwed 1
see 1
seeking 1
sees 1
sets 1
several 2
severely 1
she 6
shortly 2
simply 2
since 2
sister 1
six 1
sleeping 2
so 1
some 2
sorceress 2
spell 2
start 1
starting 1
starts 1
status 3
stop 1
string 2
struggle 1
succeeds 1
successfully 1
survived 1
taking 2
team 1
tell 1
tells 1
tends 1
that 8
the 35
their 1
them 4
themselves 1
then 2
they 5
this 2
through 1
thus 1
times 1
to 21
towards 1
travel 1
tried 1
tries 3
trip 3
turns 1
under 1
unlikely 1
up 2
upon 2
us 1
very 1
vision 1
visit 1
wanting 1
warehouse 3
warned 1
was 3
we 2
werewolf 3
werewolves 1
what 2
whatsoever 1
when 1
which 2
who 8
whose 1
wife 1
will 5
windham 1
with 7
within 1
wolf 1
working 1
world 6
would 3
wounds 1
wyndham 2
you 1
