2410240
/m/07b46_
/m/07b46_
John Masters
1951-12
1857 1
a 3
about 1
against 2
all 1
along 1
an 4
and 10
are 6
as 1
at 1
battle 1
before 1
bengal 2
betrayal 1
bhowani 2
british 5
but 1
by 3
captain 1
caroline 2
cavalry 1
central 1
chapatis 1
character 1
charge 1
city 2
clash 1
combined 1
community 1
company 1
complacent 1
conspirators 1
desire 1
devoted 1
distributed 1
does 1
drives 1
driving 1
east 1
emotionally 1
empathy 1
enable 1
english 1
escapes 1
eventually 1
families 1
fear 1
fictional 1
fights 1
final 1
for 3
forces 1
former 1
friend 1
garrison 2
gathering 1
group 1
growing 1
hatred 2
have 1
he 2
him 2
his 6
historic 1
humanity 1
in 8
incident 1
including 1
india 1
indian 5
indians 1
infant 1
infantry 1
infected 1
insane 1
into 1
intrigue 1
ironically 1
is 7
it 1
its 1
jhansi 1
killed 1
kills 1
langford 1
life 2
local 1
location 1
loss 1
love 1
loyal 1
massacre 1
messengers 1
most 1
murdered 1
mysterious 1
native 1
nightrunners 1
not 1
novel 1
of 15
officer 2
officers 1
or 1
other 1
outbreak 2
own 2
reach 1
real 1
realise 1
rebellion 4
recover 1
refugees 1
regiment 3
remained 1
remains 1
resentment 1
restless 1
revenge 1
rodney 1
rule 1
rulers 1
same 1
savage 6
sense 1
sepoys 2
set 1
shattered 1
sheltered 1
shortly 1
small 1
soldiers 1
some 1
son 1
spite 1
stationed 1
subsequently 1
suppress 1
sympathetic 1
that 1
the 28
their 2
them 1
this 1
tide 1
time 2
title 1
to 6
tolerance 1
torn 1
turns 1
unexplained 1
villagers 2
was 1
which 2
who 4
wife 1
with 6
woman 1
