4726747
/m/0ck8zr
/m/0ck8zr
Barbara Mertz
1985
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
1845 1
5 1
a 12
about 1
after 3
aka 1
all 2
along 2
amelia 2
american 1
an 1
and 3
annoying 1
antiquities 2
archaeologist 1
are 1
at 3
bastet 1
began 1
branch 1
breeze 1
bring 1
broken 1
but 2
by 1
cairo 1
case 1
cat 1
chapter 1
city 1
comparison 1
confess 1
could 1
dahshoor 2
dealers 1
debrishe 1
department 1
desert 1
did 1
dig 3
does 1
donkey 1
egypt 2
emerson 2
emersons 2
excavate 1
excuse 1
eyes 1
family 1
fear 1
femur 1
femuw 1
fervor 1
finally 1
find 1
first 1
footman 1
for 2
german 1
get 2
glowed 1
got 1
group 1
hair 1
has 2
have 1
he 2
hearing 1
hears 1
held 1
her 1
his 5
holy 1
husband 1
i 1
in 5
is 4
it 3
keep 1
life 1
like 1
living 1
local 1
looked 1
mama 1
man 1
mazghunah 2
me 1
meant 1
missionaries 1
money 1
more 1
mummy 1
near 1
nearby 2
no 2
noblewoman 1
obediently 1
object 1
objects 1
of 10
off 1
on 1
one 2
out 1
owning 1
paid 1
pale 1
papyrus 1
permission 1
pilgrim 1
professor 1
pyramids 1
radcliffe 1
ramses 5
reached 1
return 1
rival 1
rose 1
ruffled 1
ruined 1
rumors 1
said 1
say 1
scrap 1
season 1
set 1
settle 1
shop 1
sift 1
son 1
sooner 1
squatting 1
steals 1
studying 1
sturdy 1
tasteand 1
than 2
that 2
the 16
their 2
then 3
they 1
thief 1
this 2
through 1
tmc 1
to 9
trembling 1
trip 2
trouble 1
up 2
visit 1
voice 1
walter 1
warm 1
which 3
while 1
who 5
will 1
with 3
young 2
