6812182
/m/0gq57f
/m/0gq57f
Pío Baroja
1911
{"/m/012jgz": "Autobiographical novel"}
1th 2
a 6
alcolea 1
and 4
andrs 2
apathy 1
arbo 1
arbola 1
as 2
author 1
baroja 2
bourgeois 1
by 1
caciquism 1
cael 1
castillala 1
century 2
ciencia 2
classmates 1
conditions 1
contrasts 1
de 3
deals 1
defends 1
description 1
dialogue 1
different 1
direct 1
diverse 1
doctor 3
draws 1
dreadful 1
emphasizing 1
endure 1
english 1
eola 1
esel 1
eujakintzaren 1
family 1
fictitious 1
finally 1
first 1
friends 1
from 1
german 1
had 1
half 1
he 3
his 3
hurtado 3
hygiene 1
idealism 1
ignorance 1
in 5
inhabitants 1
is 3
it 1
iturrioz 1
iv 1
la 3
life 1
lul 1
madrid 3
makes 1
mancha 1
marriage 1
mdash 1
medicine 1
merciless 1
met 1
narration 1
novel 3
now 1
of 8
or 1
painting 1
part 1
peasant 1
pragmatism 1
predominant 1
proletarian 1
prostitution 1
rbol 2
resignation 1
rest 1
return 1
romano 1
sciado 1
second 1
shows 1
stay 1
student 2
such 1
supported 1
teachers 1
tells 1
that 2
the 17
thirdperson 1
through 1
to 4
totally 1
town 1
unfortunate 1
was 1
when 1
where 2
which 1
with 1
woman 1
works 1
young 1
