21505280
/m/05h4mh5
/m/05h4mh5
Edgar Rice Burroughs
1921-10-06
{"/m/025txgl": "Western fiction"}
a 7
about 1
action 1
actually 1
advises 1
agreed 1
alcoholic 1
amount 1
and 19
announce 1
announces 1
are 4
as 1
at 2
attacked 1
back 1
battle 1
be 1
because 1
bequeaths 1
better 1
brings 1
brother 1
builds 1
bull 9
bullion 2
but 6
buy 1
by 3
can 1
care 1
catches 1
claim 1
claims 1
colby 5
competing 1
corson 2
cousin 1
cowardly 1
daughter 1
defend 1
deliver 1
devastated 1
diana 13
dies 1
discovers 1
discusses 1
does 3
doggedly 1
due 1
during 1
east 1
eastern 2
easterneducated 1
easterner 1
elias 1
encourages 1
entitled 1
eventually 1
feelings 1
finally 1
fires 1
follows 1
for 5
forces 1
foreman 1
friends 1
from 2
goes 1
gold 3
gregorio 1
had 1
hand 1
hang 1
has 4
have 1
he 4
heads 1
help 1
henders 5
her 6
him 5
his 6
however 1
ignorance 1
illegal 1
impending 1
important 1
in 3
indians 1
insist 1
intrigued 1
is 10
jefferson 1
job 1
john 3
kidnaps 1
knows 2
lawyer 2
lillian 4
local 1
love 1
low 1
marriage 2
mexican 1
mexico 1
mine 6
mob 1
more 1
mortally 1
nearly 1
no 1
not 4
obtain 2
of 3
off 1
offer 1
offering 1
often 1
on 1
opposing 1
orders 1
out 1
over 1
owner 2
papers 3
played 1
pressure 1
pretend 1
price 1
property 8
proposes 1
prosperous 1
prove 1
ranch 6
rather 1
recognizes 1
recovering 1
refuses 1
related 1
released 1
repeatedly 1
rescues 1
rescuing 1
return 1
rich 1
rights 1
rob 1
robbed 1
robberies 2
robbery 1
robbing 1
roundup 1
runs 1
sabotages 1
sale 1
say 1
seduced 1
seize 1
sell 1
she 5
sheriff 2
should 1
show 1
showing 1
simply 1
small 1
so 1
son 1
stage 4
starting 1
stop 1
supporting 1
suspected 1
take 3
takes 1
than 2
that 11
the 35
their 2
there 1
they 6
thus 1
time 1
title 1
to 17
too 1
town 2
transfers 1
tries 1
true 1
try 2
value 1
villains 1
wainwright 2
wainwrights 3
warns 1
watched 1
ways 1
western 1
when 1
who 1
will 2
wills 1
with 1
worth 1
wounded 1
