1858892
/m/061nxp
/m/061nxp
James Joyce
1918-05-25
{"/m/07s9rl0": "Drama"}
a 8
about 4
accept 1
account 1
act 4
action 2
acts 2
admits 3
after 1
again 1
agree 1
all 2
alone 1
although 2
an 1
and 14
appears 1
appointed 1
are 4
article 2
as 2
asking 1
asks 2
asserts 1
at 4
attempts 1
away 1
awkward 1
be 1
beatrice 1
begins 2
bertha 19
between 2
body 1
both 1
but 2
by 1
cab 1
calls 1
calmly 1
cat 1
characters 1
claims 1
claret 1
clear 1
clearly 1
come 1
conversation 2
cousin 1
death 1
decide 1
described 1
detail 1
divorce 1
door 1
doubt 3
drank 1
dream 1
duns 1
earlier 1
enables 1
ends 1
entirely 1
evening 2
exactly 1
expecting 1
explaining 1
explains 2
explicitly 1
favourable 1
first 1
following 1
for 5
foreign 1
garden 1
go 1
goes 2
gone 2
good 1
had 2
hair 1
hand 17
happened 1
has 4
hasnt 1
have 2
he 10
her 6
herself 2
him 2
himself 3
his 6
home 3
hour 2
house 5
i 2
if 2
in 10
inconclusively 1
indeed 1
instead 1
into 1
invitation 1
involves 1
is 9
it 3
jealous 2
joyce 1
just 1
kisses 1
knocks 1
knows 1
later 1
leaves 1
leaving 1
left 1
lies 1
like 1
lodge 1
longed 1
longs 1
love 1
lover 2
loves 1
maid 2
many 1
meet 1
meeting 1
minutes 1
more 1
morning 2
mostly 1
mouse 1
nakedness 1
newspaper 1
newspapers 1
night 4
nightclub 1
not 2
occurred 1
oclock 1
of 15
on 3
only 1
over 1
own 1
parts 1
passes 1
passion 1
picked 1
place 1
play 3
pounce 1
precisely 1
previous 2
published 1
reconciled 1
relationship 2
resolution 1
returned 1
robert 2
rowan 16
sacred 1
satisfied 1
scotus 1
second 2
seduce 1
sees 1
sense 3
seven 1
several 1
sex 1
shared 1
she 4
should 1
simple 1
slept 1
some 1
soul 1
specifics 1
spirit 1
stated 1
strand 1
structure 1
subtle 1
supplies 1
surrey 1
tactfully 1
tells 4
that 9
the 34
then 3
think 1
third 1
this 3
three 2
time 1
times 2
to 14
took 1
two 1
united 1
up 1
utter 1
very 2
vicechancellor 1
walking 1
was 1
way 1
went 1
what 5
where 2
while 2
who 1
wife 1
with 9
wooing 1
wounded 1
write 1
written 1
you 3
