797326
/m/03cv13
/m/03cv13
Clive Barker
2002
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 10
abarat 5
abaratian 1
adventures 1
affecting 1
after 2
all 1
also 1
an 2
and 6
antagonists 1
argument 1
as 3
authorities 1
be 1
because 1
before 1
brothers 1
by 2
candy 7
carrion 1
carry 1
chickentown 1
chief 1
christopher 1
conclude 1
connected 1
consists 1
creature 1
creatures 1
crises 1
day 1
destined 1
destruction 1
different 1
discovers 1
dominate 1
each 1
edge 1
encounters 1
extingushing 1
focuses 1
follows 1
formerly 1
from 2
frustrated 1
gains 1
girl 1
giving 1
goes 1
grandmother 1
group 1
harbor 1
he 1
her 5
him 1
his 2
horns 1
hour 1
in 2
industrialist 1
intimations 1
introduces 1
is 2
island 2
islands 1
izabella 1
john 1
key 1
known 2
lamp 1
learns 1
leaves 1
life 1
light 2
lighthouse 2
live 1
master 1
mater 1
may 1
mendelson 1
minnesota 1
mischief 3
motley 1
named 2
nearby 1
occupying 1
ocean 1
of 7
on 3
over 1
parallel 1
pixler 1
project 1
protect 1
pursued 1
quackenbush 1
remains 1
ride 1
rojo 1
school 2
sea 1
seas 1
seek 1
sees 1
sends 1
separated 1
shape 1
she 4
sinister 1
sorcerer 1
story 2
summons 1
teacher 1
teenage 1
that 2
the 19
them 1
then 1
thereafter 1
these 1
thief 1
to 8
town 1
twentyfive 1
was 1
where 2
which 1
whom 1
whose 1
with 2
world 2
