19902875
/m/04q6l1b
/m/04q6l1b
Nicholas Sparks
2008-09
a 9
across 1
affair 1
also 1
an 1
and 5
apartdestroying 1
attraction 1
back 1
battle 1
begin 1
begins 1
believe 1
ben 1
best 1
buddies 1
but 2
by 1
carolina 1
carries 1
caught 1
charm 1
closest 1
colorado 1
country 1
deep 1
destiny 1
dirt 1
divorced 1
dog 1
during 1
duty 1
elizabeth 2
encounters 1
eventually 1
explanation 1
feels 1
find 1
finds 1
first 1
for 1
fortune 1
friend 1
games 1
good 1
green 1
guard 1
halfburied 1
have 1
he 4
her 1
his 9
holds 1
home 1
in 6
iraq 1
journey 1
keeps 1
key 1
kills 1
lives 1
logan 1
love 2
luck 1
lucky 1
marine 1
mother 1
north 1
not 1
of 6
off 1
on 1
only 1
out 1
passionate 2
photo 4
photograph 2
pocket 1
poker 1
secret 2
seems 1
sets 1
smiling 1
somehow 1
son 1
soon 2
story 1
streak 1
survives 1
tear 1
that 2
the 12
their 2
them 1
then 1
thibault 3
threaten 1
to 5
tour 1
true 1
two 1
us 1
very 1
victor 1
will 1
wins 1
with 2
woman 2
young 2
zeus 1
