12032419
/m/02vmjzp
/m/02vmjzp
Harlan Coben

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
200 1
a 9
about 1
acceptances 1
afraid 1
agent 1
aimee 3
all 2
alltoocommon 1
alltoodangerous 1
almost 1
always 1
am 1
and 9
anxious 1
any 1
are 3
as 2
at 2
await 1
away 1
back 1
be 2
because 1
been 1
before 1
biel 1
bind 1
bolitar 1
boyfriend 1
buried 1
but 4
call 3
called 1
change 1
children 1
college 1
comes 1
culdesac 1
daughter 1
day 1
decide 1
desperate 1
determined 1
disappearance 1
discover 1
dr 1
drew 1
drinking 1
drives 1
driving 1
dyne 1
easily 1
edna 1
entertainment 1
erik 1
estranged 1
ever 1
families 1
father 2
find 1
fired 1
for 4
forever 1
friend 2
friends 1
from 2
fulfill 1
get 1
gets 1
girl 1
girls 4
gone 1
gun 1
has 2
hasnt 3
have 2
he 9
held 1
help 1
her 10
high 1
him 5
his 4
home 1
hope 1
if 2
in 5
involved 1
is 7
it 1
jersey 1
katie 1
keep 2
kids 1
knows 1
last 3
later 1
less 1
life 1
lives 1
loves 1
make 1
makes 1
man 1
manhattan 1
midtown 1
missing 2
mistake 1
months 1
much 1
must 2
myron 6
neighborhood 1
new 1
next 1
nightmarishly 1
nights 1
not 1
now 1
of 7
once 1
one 1
ones 1
or 1
other 1
out 1
over 1
parents 2
past 1
person 1
picks 1
played 1
pregnant 1
pressurecooker 1
promise 3
punch 1
quiet 1
races 1
returns 1
revealed 1
rochester 1
rufus 1
runs 1
safe 1
saving 1
says 1
scariest 1
school 3
see 1
several 1
she 2
shes 1
since 1
six 2
skylar 1
so 2
some 1
son 1
source 1
stalked 1
stand 1
still 1
strict 1
suffer 1
superhero 1
teacher 1
termination 1
that 3
the 12
their 2
these 1
they 2
those 1
thrown 1
to 12
trouble 2
true 1
trying 1
turned 1
two 1
up 3
van 1
wanted 1
was 3
wellintentioned 1
what 1
where 1
who 4
will 3
win 1
with 2
word 2
would 1
wrong 1
year 1
years 2
young 1
