9333321
/m/0284ypj
/m/0284ypj
Stephanie S. Tolan
2002
{"/m/0dwly": "Children's literature"}
a 6
ability 1
about 2
acting 1
actors 2
actresses 1
after 1
again 1
an 1
and 11
any 1
are 2
arrives 1
artists 1
as 2
asks 1
audience 2
audition 1
back 1
barn 1
be 2
because 5
become 1
before 1
begin 1
begins 1
believe 1
blue 1
bossy 1
but 3
by 1
calmed 1
can 1
cancels 1
candles 1
cast 1
casts 1
children 1
collective 1
complete 1
continue 2
convert 1
creative 1
crew 1
daughter 1
demanding 1
determined 1
directing 1
disheartened 1
doing 1
down 1
ed 6
electricity 1
encourage 1
entire 1
everyone 1
everything 1
family 3
father 2
feels 1
final 1
flash 1
genuine 1
goes 1
going 1
had 1
has 1
he 2
head 2
hears 1
helping 1
her 4
him 1
his 1
hold 1
however 2
idea 1
in 5
incident 1
into 1
is 9
isnt 1
it 2
jake 3
join 1
just 1
keep 1
lack 1
leaving 1
left 1
lets 1
living 1
local 1
loud 1
makes 1
manager 1
middle 1
morning 1
music 1
next 1
night 1
now 1
nuns 1
of 15
one 1
onstage 2
organize 1
other 1
out 3
outstanding 1
over 1
performance 1
performers 1
play 5
playing 1
pool 1
production 1
proposes 1
quits 1
rain 2
randolph 3
reads 1
report 1
resentful 1
reviews 1
role 1
roles 1
rolf 1
room 1
running 1
save 1
say 1
scene 1
see 1
she 3
show 5
sing 1
singing 2
sits 1
small 1
so 2
soon 2
sound 2
stage 2
stall 1
success 2
talent 1
talents 1
tells 1
thanks 1
that 2
the 40
theater 2
their 1
them 1
there 1
they 3
thinks 2
thunder 1
to 14
town 1
trapp 1
ultimately 2
unlike 1
until 2
up 1
very 1
von 1
was 1
wasnt 1
weather 1
well 1
what 2
white 1
will 1
with 1
written 1
