8029741
/m/026p25f
/m/026p25f
Madeleine L'Engle

{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
037435043 1
a 18
abandoned 1
about 2
accompanies 1
across 1
act 1
adopt 1
adults 1
adventures 1
after 1
aid 1
along 1
also 3
always 1
an 5
and 20
andy 4
another 3
antius 1
are 1
arrives 2
as 2
at 5
attention 1
austin 3
austins 3
avalanche 1
avoid 1
baby 1
be 2
beach 2
bears 1
becomes 1
been 1
beginning 1
begins 1
behind 1
better 1
between 3
big 1
black 2
boy 2
brand 1
breath 1
brings 1
broken 1
but 4
by 3
california 1
campground 2
campgrounds 1
camping 1
campsite 1
canada 1
care 1
change 1
chapter 1
charming 1
cheerful 1
child 1
children 1
city 1
cold 1
comes 1
competent 1
concerns 1
connecticut 1
contemporary 1
country 1
crosscountry 1
cynicism 1
damaged 1
dangerous 1
death 1
deduces 1
demands 1
despite 1
destination 1
differences 1
different 1
dislikes 1
do 2
doctor 1
doing 1
douglas 3
down 1
dr 2
during 3
early 1
earthquake 1
elena 2
emotionally 2
encounter 1
ends 1
enjoys 1
equipped 1
exciting 1
exercise 1
exhibits 1
existence 1
family 8
far 1
father 3
fawn 1
fever 1
few 1
find 1
finds 1
first 2
flood 1
for 2
ford 1
frightening 1
from 3
game 1
gang 1
god 1
goes 1
gray 1
growing 1
grows 1
guardian 1
hamilton 1
handsome 1
has 3
he 3
heart 1
help 2
her 14
hide 1
hike 1
him 2
himself 1
his 5
history 1
hours 1
in 21
independence 1
injured 1
intelligent 1
interested 1
interpretive 1
intimations 1
is 6
isbn 1
its 1
jealousy 1
journey 1
laguna 2
large 1
late 1
later 2
left 1
legal 1
less 1
life 3
live 1
living 1
loving 1
lures 1
luxuriously 1
maggy 1
marrying 1
meant 1
meet 1
meets 2
mesa 1
missing 1
moon 1
more 2
mountain 1
mountainside 1
move 1
national 1
near 1
nearby 1
need 1
new 3
next 1
night 1
not 1
notes 1
obedience 1
observing 1
of 12
on 1
one 1
orders 1
orphan 1
other 1
paleness 1
parents 2
park 1
peers 1
person 1
precariousness 1
privately 1
promises 1
properly 1
pulled 1
pursues 1
ram 1
recklessness 1
remote 1
rendering 1
rescue 1
research 1
resents 1
rest 1
results 1
return 1
rheumatic 1
rocks 1
rural 1
search 1
section 1
see 1
seek 1
sentiment 1
several 2
she 2
shortness 1
show 1
side 1
sightseeing 1
since 1
sister 1
so 1
society 1
sometimes 1
speak 1
stable 1
station 1
strenuous 1
suzy 1
swift 1
take 1
teenage 1
tennessee 2
tent 1
terms 1
texas 1
than 1
that 2
the 20
their 5
them 1
they 4
this 2
thornhill 1
though 1
throughout 1
times 2
to 15
torn 1
toward 1
trailer 1
transition 1
trapped 1
travels 1
trip 4
turns 2
two 1
unable 1
uncle 2
until 1
up 1
utah 1
verde 1
very 1
vicky 15
visit 1
wagon 1
waits 1
wallace 1
wanting 1
war 1
way 1
wedding 1
when 1
where 2
who 4
will 1
with 12
wrist 1
wrongheaded 1
wyoming 1
yellowstone 1
york 1
younger 1
zach 1
zachary 9
