20857858
/m/0561895
/m/0561895
Philip Kerr
2009-01
10 1
1500nbspmph 1
2 2
a 27
able 1
abnormally 1
absorbed 1
accelerated 1
accident 1
accidentally 1
across 2
acts 1
after 2
again 1
against 1
airplane 1
also 1
america 1
an 5
ancient 2
and 24
animals 2
another 1
apparates 1
are 6
army 1
arrive 1
as 2
at 2
awakens 2
away 1
back 5
bad 4
baseball 1
be 5
because 1
becomes 1
before 1
behind 2
beings 1
berlin 1
bigger 1
black 1
blood 1
blow 1
blue 1
boards 1
body 1
bodyhe 1
bomb 1
book 1
brazil 1
bridge 1
bring 1
brings 1
broke 1
brokenhearted 1
brother 1
buck 3
built 1
buries 1
but 8
butler 1
by 6
can 3
capac 1
capturing 1
cause 2
causing 1
chasing 1
chief 2
city 1
come 1
concussion 1
connects 1
consulting 1
contact 1
copy 1
could 3
cross 1
crushes 1
cut 1
deadly 1
decide 1
dehypnotizes 1
desires 1
destroyed 1
devices 1
disappear 1
discovers 1
disk 1
disks 3
djinn 4
djinnternal 1
doctor 1
dont 1
door 3
dots 1
down 2
dr 1
dropped 2
druids 2
due 1
dybbuk 2
east 2
edward 1
electronic 1
eloko 1
enantodromia 1
end 1
enemy 1
entangled 1
escapes 1
ethereal 1
explosion 2
eye 5
fake 1
family 1
fast 1
father 1
faustina 2
fear 1
few 1
fight 1
finds 1
flies 1
fly 2
follow 2
follows 1
for 2
forest 2
forests 1
form 1
former 1
from 5
gains 1
gaunt 4
gestalt 1
gestalted 1
get 2
gets 1
getting 1
global 1
go 3
goes 5
going 1
gold 3
good 3
grace 1
grow 2
growth 1
guarded 1
guide 1
had 1
hair 2
happened 1
happens 1
has 4
hazmat 1
he 6
head 1
heads 1
help 1
her 8
him 1
hiroshimabut 1
his 5
hoax 1
home 1
house 2
however 1
human 2
hypnotized 1
ie 1
if 1
in 13
inca 1
incan 2
indians 4
instead 2
intent 1
into 2
invisible 1
is 16
it 4
its 2
jet 1
john 7
just 2
keeping 1
kidnapped 2
killed 1
kings 1
knot 1
knotted 1
knowledge 1
kowalski 1
land 1
large 1
later 1
layla 2
lead 1
leads 2
leans 1
leaves 1
lesson 1
like 3
lithium 1
loggers 1
longer 1
look 1
lost 2
lupuna 2
lupunas 1
macreeby 8
made 3
mail 1
make 4
makes 2
manco 1
map 1
meanwhile 2
medusa 1
message 1
middle 1
mr 4
mrs 2
mummified 1
mummy 1
museum 2
named 2
namely 1
navigated 1
near 3
nearly 1
new 2
news 3
nightshakes 1
nimrod 9
no 3
normal 1
not 1
now 1
nuclear 1
obviously 1
of 12
on 6
once 1
one 7
ones 1
only 2
opposite 1
other 3
others 3
out 1
paititi 2
peru 1
peruvian 1
phil 4
philippa 1
picture 1
piece 1
pizarro 3
place 1
plants 4
plastic 1
polonium 3
power 2
powers 1
powerseven 1
process 1
punishment 1
pure 1
radiation 1
rakshasas 1
rare 1
reach 3
real 2
realize 1
realizes 1
really 1
rectangular 1
regains 1
regular 1
releases 1
remake 1
renounce 1
renounces 1
rescues 2
ride 1
ritual 1
rod 2
row 1
sacred 1
safe 2
safely 1
said 1
says 3
scared 1
school 1
see 1
sending 1
several 1
shaped 1
shared 1
she 7
shelter 1
showing 1
shows 1
sicky 2
sister 1
size 1
slippers 2
small 1
so 3
some 2
somehow 1
somethings 1
soon 1
spirit 1
split 1
staff 2
stays 2
steel 1
stole 3
stomach 1
stonehenge 1
stop 1
story 1
string 1
suits 1
surgeon 1
talking 1
tall 1
tattoo 1
teach 1
team 1
temple 1
that 17
the 61
their 7
them 7
then 2
there 2
these 1
they 14
thief 2
third 1
this 1
though 1
three 3
through 3
tied 1
times 2
to 33
tonowhere 1
tour 1
travel 1
tree 1
trees 1
true 1
try 1
turn 1
turns 1
two 1
unrelated 1
unties 1
unusually 1
up 4
uranium 3
used 1
using 1
vampire 1
video 1
virgil 2
vodyannoy 1
want 1
warming 1
was 3
way 2
were 1
west 1
when 3
where 1
while 2
whirlwind 1
whirlwinds 1
who 2
whole 1
wife 1
will 3
wing 3
wish 2
wishes 1
with 7
without 1
working 1
world 4
would 1
years 1
york 1
you 1
young 1
zadie 8
