4370631
/m/0bzp3m
/m/0bzp3m
James Ellroy
1984-03
160s 1
165 1
23yearold 1
a 5
abilities 1
ability 1
about 1
adores 1
african 1
always 1
americans 1
and 4
angeles 1
any 1
apartment 1
are 2
armory 1
arrests 1
associates 1
because 1
been 2
begins 2
brutal 1
but 2
by 1
california 1
cases 1
caught 1
changes 1
children 1
chronically 1
considered 1
criminals 1
daughters 1
deduces 1
deeply 1
department 1
deployed 1
deranged 1
disemboweled 1
down 2
during 2
eighteen 1
fact 1
family 1
first 1
for 4
genius 1
guard 1
habits 1
handle 1
has 4
he 6
healthy 1
help 1
her 2
highest 1
his 11
history 1
hopkins 5
hunting 1
in 5
intuitive 1
investigates 1
involves 1
is 6
it 1
killing 2
kills 1
lapd 1
late 1
later 1
leaps 1
lloyd 2
logic 1
los 1
loves 2
make 1
man 1
many 1
modus 1
murder 2
national 1
never 1
not 1
novel 1
now 1
number 1
of 6
officer 1
on 1
operandi 1
particularly 1
person 1
propensity 1
put 1
quickly 1
realize 1
relationship 1
responsible 1
riot 1
riots 1
sergeant 2
since 1
situation 1
soon 1
still 1
story 1
subplot 1
telling 1
test 1
that 4
the 13
their 1
them 1
this 2
though 1
three 1
to 5
tracking 1
uncanny 1
unfaithful 1
was 2
watts 1
when 2
who 2
wife 2
with 3
woman 1
women 1
worked 1
years 1
