7209386
/m/025w5wm
/m/025w5wm
Traudl Junge

142145 1
143 1
144 1
18 1
21 1
40 1
765 1
a 7
abandoned 1
accounts 1
acp 1
across 1
activities 1
adolf 1
advantage 1
after 1
air 1
all 2
almost 1
alone 1
along 1
also 1
although 1
americans 1
and 19
another 1
any 1
army 3
around 2
as 3
at 1
attempted 1
august 1
author 1
avoid 1
awaited 1
back 1
be 4
because 3
beds 1
before 2
began 2
beloved 1
berghof 1
berlin 2
biting 1
blind 1
blondi 2
bodies 1
book 1
braun 3
break 1
bride 1
briefly 1
built 1
bunker 4
bunkers 1
but 1
by 6
capsule 3
capsules 2
captured 1
chambered 1
chance 1
chancellery 3
charisma 1
chiefs 1
children 1
city 1
claims 1
combat 1
committed 1
conducted 1
considered 1
crime 1
custody 1
cyanide 5
days 2
deal 1
deals 1
decided 1
defence 1
depression 1
describes 1
detail 1
detailing 1
deteriorated 1
differ 1
dinner 1
dog 1
dubious 1
during 1
each 1
east 1
eastern 1
either 1
encirclement 1
enlightenment 1
enough 1
eugene 1
europe 1
eva 3
eventual 1
eventually 2
everyone 1
eyewitness 1
fall 1
fell 1
few 1
fhrerbunker 1
final 1
first 2
flee 1
follower 1
for 6
found 1
from 3
front 1
galante 1
genocidal 1
germany 1
goaded 1
goebbels 2
going 1
gp 1
great 2
guards 1
gunshot 1
had 4
hans 2
he 5
head 1
health 1
heinrich 1
held 1
her 4
hermann 1
hesitant 1
him 1
himmler 1
himself 2
hired 1
his 7
hitler 13
hopelessness 1
horror 1
hours 1
however 1
humps 1
in 15
inevitable 1
instance 1
instantly 1
into 2
it 1
joseph 1
june 1
junge 8
kill 1
killed 3
known 1
lair 1
later 1
led 1
less 1
long 1
losing 1
love 1
luxuries 1
magda 1
manuscript 1
married 1
marry 1
marrying 1
memoir 1
merely 1
military 2
minister 1
mm32 1
mood 1
munich 1
needed 1
never 1
new 1
not 1
occurred 1
of 11
old 1
on 2
once 1
one 2
only 1
or 1
orderlies 1
other 3
others 2
out 4
outright 1
own 1
parties 1
passed 1
paternal 1
personal 1
pierre 1
pistol 1
point 1
poisoned 1
powerful 1
ppk 1
primarily 1
propaganda 1
prosecuted 1
protect 1
provided 1
prussia 1
public 1
published 1
putnam 1
quickly 1
raids 1
red 1
reich 3
reichsfhrerss 1
reichskanzlei 1
released 1
replaced 1
right 1
russians 2
secretaries 2
secretary 3
semiautomatic 1
she 10
shoot 2
silianoff 1
simultaneously 1
six 1
so 4
soldiers 1
some 1
sons 1
soon 1
sought 1
soviet 4
spellbound 1
spent 1
ss 1
stalingrad 1
stated 1
stay 1
still 1
suicide 2
surrender 1
sweeping 1
teaparties 1
temple 1
tested 1
than 1
that 5
the 43
their 3
them 1
therein 1
they 6
this 2
time 1
to 18
took 1
train 1
traudl 3
traveled 1
treated 1
try 1
turns 1
two 1
union 1
up 1
upper 1
used 1
using 1
very 1
voices 1
vorbunker 2
walther 1
wanted 1
war 2
was 15
way 1
were 5
when 2
which 1
while 2
wife 2
with 9
wolf 1
wolfsschanze 2
women 1
working 1
would 3
wound 1
years 4
york 1
young 1
