5799415
/m/0f5d1h
/m/0f5d1h
Margaret Haddix
2004-04-27
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
a 9
abandoned 1
abandons 1
able 1
ablebodied 1
after 2
afterward 2
all 1
along 1
also 1
and 19
as 2
at 4
away 1
back 1
be 1
been 2
behind 1
book 2
boys 1
bright 1
brother 1
brothers 1
burn 1
but 2
by 3
captured 1
car 1
care 1
chauffeur 1
children 2
clearafter 1
conceal 1
containing 1
cottage 1
deal 1
decide 1
defeated 1
despite 2
destroy 1
directly 1
discover 2
dive 1
doctor 1
documents 3
door 1
during 1
emptied 1
encounters 1
ended 1
events 1
execution 1
explain 1
false 1
farm 1
fears 1
fend 1
fifth 1
find 5
finds 1
flowerpot 1
for 3
found 1
free 1
friend 2
friends 3
from 6
front 1
garner 2
government 1
grant 3
grants 1
group 2
guard 1
had 1
hair 1
happens 1
has 1
have 2
he 4
headquarters 1
health 1
help 2
hendricks 2
hiding 1
him 1
himself 3
his 8
hopefully 1
hostile 1
house 5
hundreds 1
identities 2
important 1
in 2
ingenuity 1
injured 1
instead 2
into 1
is 5
joel 1
john 1
knowledge 2
last 2
latin 2
leaves 2
lee 4
liber 1
life 1
looking 1
luck 1
luke 4
lukelee 1
manages 2
mark 3
may 1
member 1
missing 1
moment 1
mr 4
mrs 3
must 1
named 1
names 1
nedley 2
network 1
news 1
nina 2
none 1
nursed 1
obscure 1
of 13
off 2
older 1
on 1
once 1
one 1
opportunities 1
other 1
others 1
out 4
overthrown 1
own 3
parents 1
point 1
police 5
population 5
porch 2
powerful 1
preparing 1
presents 1
private 1
protect 1
raid 1
raided 2
raider 1
reading 1
real 2
rebel 1
recent 1
recruit 1
red 1
replaced 1
reports 1
resolving 1
responsibility 1
rest 1
reveals 1
safety 2
save 3
saved 1
saves 1
says 1
school 1
schools 1
searches 1
sets 1
several 2
she 1
sign 1
small 1
smits 1
snatches 1
sneaks 1
soon 1
sorting 1
starts 1
steps 1
students 1
stunning 1
take 2
taken 1
takes 1
taking 1
talbot 7
teachers 1
than 1
thanks 1
that 4
the 36
their 1
them 3
themselves 1
then 1
they 3
third 1
to 18
together 1
trey 13
treythe 1
up 2
using 1
vast 1
ventures 1
view 1
wants 1
was 1
where 2
who 2
winds 1
with 6
within 2
without 1
woman 1
working 1
years 1
younger 1
