2595713
/m/07qjq6
/m/07qjq6
Alexander Key
1970
a 19
about 2
abruptly 1
acting 1
agree 1
aircraft 3
all 2
also 3
alternates 1
although 1
an 4
and 45
another 1
any 1
appears 1
apprentice 2
are 3
arm 1
around 1
arrive 1
as 9
assign 1
at 7
attempts 1
away 1
awing 1
back 2
bargaining 1
be 3
because 8
been 6
before 2
begins 1
believe 4
believing 1
better 1
between 1
boat 2
boats 1
breaks 1
briac 4
bring 1
broken 1
build 1
building 2
but 16
by 3
can 4
cant 4
captures 2
carrying 1
cataclysm 1
cells 1
challenges 1
change 1
child 2
children 1
chip 1
choice 1
citizen 2
city 2
civilization 1
climbs 1
closed 1
coast 1
come 2
coming 3
complex 1
conan 15
conscience 1
continuing 1
could 1
council 1
crash 1
crazy 1
crippled 1
culture 1
dare 1
deal 3
deals 1
debt 1
defeats 1
deliberately 2
demands 1
designated 1
designates 1
despairs 1
desperate 1
despite 1
device 1
died 1
direction 1
directly 1
discover 1
discovers 3
do 1
doesnt 4
dont 2
down 1
dr 4
drop 1
drowns 1
dyce 13
earthquake 2
easily 1
either 1
else 1
endorsing 1
ends 1
enemy 1
enough 1
enraged 1
entice 1
entices 1
escape 1
even 1
ever 1
exchange 1
exist 1
experiences 1
eyes 1
fact 1
faction 1
fails 1
fallen 1
faster 1
fear 1
fight 1
fights 1
find 2
finds 1
first 1
five 2
flies 1
fly 1
flying 1
fog 1
follow 1
followers 1
for 19
forces 1
forehead 1
from 3
get 2
gets 1
give 1
go 4
god 1
going 1
goods 2
gratitude 1
ground 1
guise 1
had 3
half 1
happen 1
harbor 12
has 15
have 9
havent 1
having 2
he 25
helicopter 1
help 2
her 12
here 1
herself 2
hiding 2
high 12
higher 1
highest 1
him 15
himself 1
his 10
home 1
hoping 1
house 1
how 3
humanitarian 1
hurry 1
idea 1
identity 1
if 1
illness 1
immediately 1
in 17
industria 7
information 1
insane 1
instead 1
into 5
is 11
island 5
it 6
just 1
keeping 1
killed 1
know 2
knowledge 1
knows 1
lanna 10
last 1
lead 1
leading 1
learn 1
leave 2
let 1
lets 1
like 1
likes 1
look 1
looking 1
lumber 1
lying 1
machines 1
make 1
makes 1
making 1
man 2
manages 1
manski 5
mark 1
marks 1
may 1
mazal 3
mean 1
meaning 1
means 1
meanwhile 2
medicine 2
medicines 1
middle 1
might 1
militaryindustrial 1
modifies 1
more 3
motion 1
move 1
moves 1
multiplied 1
named 1
nature 1
nearly 1
need 2
neither 1
new 5
no 3
nor 1
not 2
now 2
of 14
off 1
officials 1
old 2
on 5
once 1
one 4
only 4
onto 1
or 5
order 5
ordered 1
orlo 8
out 5
over 3
owes 1
parents 3
past 1
patch 2
pay 1
people 3
place 2
plan 1
planning 1
plans 1
plaything 1
point 2
populations 1
power 1
presumably 1
psyche 1
pursuit 1
put 2
putting 1
qualities 1
rather 1
realizing 1
really 2
rebellious 1
remains 1
rendezvous 1
rescued 1
rescues 1
resolve 1
rest 1
resurrecting 1
returns 1
right 1
roa 4
roots 2
run 1
rush 1
safely 1
safety 1
said 1
sail 1
same 1
sassafras 1
sea 2
search 1
searchers 1
see 3
seek 1
seems 1
seize 1
seizes 1
selfimportant 1
semiconscious 1
sends 1
set 1
several 1
shann 3
she 13
shelter 1
ship 7
shop 1
should 1
show 1
sickness 4
since 3
situation 1
so 2
some 2
something 1
spread 1
start 1
started 1
still 2
stop 1
storm 2
story 2
strife 1
subdued 1
succeeds 1
such 1
supply 1
surprise 1
survey 1
survived 1
surviving 1
take 5
taking 1
tatooing 1
tattoo 1
teacher 17
teenagers 1
telepathy 1
tell 1
telling 1
tells 3
tern 1
than 1
that 23
the 59
their 5
them 10
themselves 1
then 1
there 5
they 17
things 2
thinks 2
this 5
those 2
through 1
throwing 1
tikki 4
time 1
to 50
together 2
tools 1
trade 2
traded 1
trading 1
trees 1
tribe 1
tries 2
trouble 1
trust 1
trying 1
tsunami 5
turns 1
up 1
uses 1
vessel 1
voyage 1
wait 1
waits 1
want 1
wants 3
warn 1
warned 2
was 1
washed 1
wasnt 1
waters 1
way 2
went 1
were 1
what 4
when 2
where 5
whereabouts 1
who 5
will 7
wishes 1
with 10
without 3
work 2
worked 1
worker 1
working 1
worst 1
would 1
wrecked 1
years 3
yet 1
