82287
/m/0l470
/m/0l470
Kurt Vonnegut
1963
120s 1
122 1
a 39
about 6
abruptly 1
accepts 1
accomplice 2
act 2
advice 1
after 2
ailing 1
air 2
airplanes 1
aka 1
all 5
ally 1
almost 2
along 2
also 1
alternative 1
ambassador 2
american 3
americans 1
among 1
amusement 1
an 9
anarchy 1
and 29
anthem 1
are 6
around 1
arrange 1
arrangement 1
arrive 1
as 6
asa 1
at 7
atomic 1
attempt 1
automobile 1
ban 1
bare 1
barely 1
based 2
be 3
becomes 4
being 2
between 2
bizarre 1
blue 1
body 1
bokonon 8
bokononism 7
bokononists 1
bolivar 1
bomb 1
bombed 1
book 6
books 1
both 2
boyd 2
breed 1
brief 1
buildings 1
but 2
by 8
called 2
calls 1
cancer 1
capital 1
caribbean 2
catholicism 1
caught 1
causes 1
cave 1
children 4
christian 2
city 1
clear 2
climbed 1
combines 1
commit 1
communicants 1
communism 1
company 2
comprehensible 1
conceived 1
consistent 1
consisting 2
consists 1
contact 1
contacts 1
contemplating 1
control 1
corporal 2
corporals 2
corps 2
corpse 1
countries 1
country 4
couple 1
crashes 1
created 2
creole 2
crossed 1
cryptic 1
crystal 2
culture 1
currency 1
cynical 1
day 1
days 1
de 1
death 1
described 1
describes 1
deserted 1
deserter 1
develop 1
dialect 2
dictator 5
dictatorship 1
did 2
dilapidated 1
dirt 1
discover 1
displaying 1
dollar 1
dominant 1
dr 1
during 3
earl 1
earth 1
end 1
ends 1
english 1
englishbased 1
enjoying 1
entire 1
escape 1
eventually 1
every 1
everyman 1
everyone 2
example 1
executions 1
exists 1
extremely 1
facetious 1
facto 1
faith 2
feet 1
felix 3
festivities 1
few 2
fictional 2
fictitious 1
field 1
fierce 1
fivethousand 1
flag 3
for 6
forbidden 1
force 1
form 2
found 1
founded 1
founder 1
franklin 2
from 1
giant 2
give 1
glamour 1
god 1
going 1
governing 1
government 2
grave 1
greeted 1
grief 1
groundwater 1
grudgingly 1
guidebook 1
had 2
half 1
hands 1
haphazard 1
happier 1
has 3
have 1
having 1
he 7
helped 1
herself 1
him 1
himself 2
hiroshima 1
his 8
history 1
hoenikker 7
home 1
hook 3
however 2
human 1
ice 1
icenine 8
idea 1
if 1
ilium 2
ill 1
illegal 1
impaled 1
impalement 1
important 1
impoverished 1
in 16
inauguration 1
include 1
including 2
influential 2
infrastructure 1
inoperable 1
insignia 1
instance 1
instantly 1
intends 1
interconnected 1
interview 1
intimate 1
into 5
involved 1
irreverent 1
is 20
island 9
issuing 1
it 6
its 6
itself 2
john 13
johnson 2
jonah 1
joy 1
killed 1
killing 1
kills 1
know 1
language 2
last 2
late 1
later 2
laureate 1
leaders 1
leads 1
learns 4
legislature 1
lent 1
lettpool 1
liable 1
life 3
lionel 1
liquid 2
little 1
lives 2
located 1
lorenzan 4
lorenzans 2
lorenzo 15
lorenzon 1
makes 1
making 1
manages 1
marine 4
mass 1
mccabe 4
meeting 1
meets 1
memoir 1
men 1
met 1
miami 1
mix 1
molecules 1
mona 2
monetary 1
months 1
monzano 4
more 1
most 1
movement 1
mt 1
much 2
name 1
named 4
narrator 1
nation 2
national 1
native 2
nearly 1
new 1
newlyappointed 1
nihilistic 1
no 1
nobel 1
not 1
novel 2
now 1
observations 1
observing 1
occupation 1
ocean 1
odd 1
of 48
officially 1
on 16
one 5
only 2
opening 1
opponent 1
opposition 1
originally 1
other 2
others 2
out 1
outlaw 1
outlawed 1
own 1
palace 1
papa 4
paper 1
part 1
peace 1
peaceful 1
people 1
period 1
persons 1
physical 1
physicist 1
place 1
placed 1
plane 1
planning 1
point 1
poorest 1
populace 1
population 1
portauprince 1
positioned 1
possession 1
postmodern 1
practice 1
practising 1
present 2
presidency 1
president 2
presumably 1
privately 1
proclaimed 1
progresses 2
project 1
prolonged 1
pronounced 1
properties 1
protestantism 1
puerto 1
punished 2
purpose 1
range 1
rank 1
rare 1
rate 1
rather 2
referred 1
refuge 1
relative 1
religion 5
religious 1
remains 1
rendered 1
republic 2
researching 1
residents 3
resigned 1
result 1
revealed 2
rico 1
rifles 1
rites 1
rituals 1
rivers 1
roads 1
rocky 1
room 2
rule 1
ruled 1
ruler 1
running 1
san 22
sea 1
seas 1
seaside 2
second 1
secretly 1
seed 1
seems 1
sense 1
several 1
shipwrecked 1
should 1
show 1
since 1
small 1
society 1
soles 1
solid 3
some 1
sons 1
speak 2
spreading 1
star 1
states 3
stationed 1
staunch 1
stillfrozen 1
store 1
story 1
strange 1
stripes 1
structure 1
studying 1
stupidity 1
substance 1
successor 1
succumb 1
sugar 1
suicide 1
supervisor 1
supposed 2
supreme 1
surviving 1
survivors 1
takes 2
taxi 1
temperature 2
than 2
that 9
the 86
themselves 2
they 2
this 3
those 1
though 1
threatens 1
through 1
throw 1
time 2
tiny 1
to 25
tobago 1
together 1
top 2
topic 1
transit 1
travelers 1
travels 1
tsventkiul 2
tumble 1
tune 1
turns 2
twinkle 2
two 5
uncomfortable 1
under 1
unit 1
united 2
untruths 1
unusual 1
up 1
updated 1
us 4
uses 1
utopian 1
vicinity 1
was 9
water 4
weary 1
well 1
were 1
what 2
when 3
where 3
which 3
while 3
who 8
wife 1
will 1
with 11
words 1
world 1
worn 1
worship 1
would 2
write 1
writes 1
york 1
younger 1
