1117383
/m/047j0d
/m/047j0d
Roald Dahl
1990
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 15
accepts 1
admiration 1
agrees 1
alfie 7
all 2
alone 1
among 1
an 2
and 10
apartment 2
appearance 1
are 2
as 1
asks 1
at 1
attractive 1
away 1
back 1
backwards 1
backyard 1
balcony 2
become 1
been 4
below 1
bigger 1
book 1
bought 1
but 3
buys 1
by 3
can 3
change 1
children 1
claim 1
claw 1
comes 1
conversation 1
corral 1
day 1
desires 1
disclose 1
do 1
does 1
doubtful 1
down 1
due 1
each 1
ear 1
effective 1
emboldened 1
embraces 1
enough 1
esio 1
even 1
exchange 1
exchanges 1
exclaims 1
expecting 1
feels 1
few 1
finally 1
fit 1
for 4
frequently 1
from 3
gesture 1
girl 1
grab 1
gradual 1
grow 3
growing 1
grown 1
had 1
has 7
having 1
he 12
help 1
her 4
him 3
his 7
hoppy 9
house 1
houses 1
how 1
if 1
in 7
inspires 1
into 2
invocation 1
is 7
it 3
kept 1
larger 1
later 3
leans 1
less 1
lives 2
living 2
long 1
longer 1
love 1
loves 1
made 1
magic 1
make 2
man 1
many 3
married 1
mentions 1
more 1
morning 1
mr 9
mrs 11
much 1
nature 1
never 1
no 1
none 1
not 1
notice 1
notices 1
now 1
of 8
old 1
one 3
only 1
ounces 4
over 1
own 1
pet 5
polite 1
proposes 1
real 1
replace 1
respective 1
returned 1
returns 1
revealed 1
room 2
runs 1
secretly 2
see 1
she 7
shops 2
short 1
shy 2
silver 11
similar 1
simple 1
sizes 1
slightly 1
small 1
so 1
some 2
spaced 1
special 1
spell 4
stairs 1
stores 1
such 1
tells 1
than 1
that 11
the 12
their 1
them 1
then 2
thirteen 2
this 3
those 1
though 1
three 1
time 3
times 1
title 1
to 14
too 1
tortoise 5
tortoises 4
trot 1
try 1
twenty 1
twentyseven 2
until 1
unusually 1
various 2
verifies 1
very 1
was 2
weeks 1
weigh 1
weighs 2
weight 1
where 1
which 2
while 1
whispered 1
who 3
whom 1
will 1
with 6
within 1
woman 1
word 1
work 1
would 1
written 1
years 3
young 1
