7394094
/m/0260c7d
/m/0260c7d
Anita Desai
1982
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/05h83": "Non-fiction"}
12yearold 1
13 1
7month 1
a 16
accompanies 1
actually 1
adapt 1
admit 1
affection 2
after 1
alcoholic 2
all 3
alone 2
also 3
although 1
an 2
and 31
anita 1
are 1
as 7
at 1
back 3
base 1
be 1
bedridden 1
been 1
begin 1
bela 3
beside 1
bombay 7
brother 1
brought 2
build 1
builds 1
bunglow 1
bus 1
busiest 1
business 1
buy 3
by 2
called 1
care 2
career 1
chain 1
change 1
changed 1
changes 1
chicken 3
child 1
chronically 1
cities 1
city 1
comes 1
comforts 1
conditions 1
confidence 1
constant 1
converses 1
could 1
de 2
decides 1
demand 1
desai 1
described 1
detailing 1
developing 1
dilapidated 1
dingdong 1
do 1
due 1
each 1
earning 1
eating 1
eldest 1
ends 2
enough 1
environment 1
even 2
events 1
ever 1
experience 1
explains 1
explicitly 1
extra 1
family 5
farm 1
father 3
fence 1
financial 1
find 1
finds 2
focuses 1
for 4
forces 1
form 1
friendship 1
from 3
future 2
generosity 1
gives 1
giving 1
goes 2
great 1
growing 1
had 1
hard 1
hari 20
has 3
have 2
he 9
help 3
her 4
highlights 1
him 6
his 8
home 2
hope 1
hospital 1
house 1
how 1
hut 1
ill 1
in 13
india14 1
insisting 1
inspiring 1
instills 1
is 11
it 1
jagu 4
jagus 1
just 1
kamal 3
kilometres 1
kind 1
krishna 1
leaf 1
learned 1
learning 1
leaves 1
left 2
life 1
lila 6
live 1
lovable 1
love 1
made 1
main 1
make 2
manage 1
marvels 1
materials 1
meanwhile 2
meet 1
meeting 1
mender 1
mending 1
mon 1
money 4
mother 3
mr 5
much 1
need 1
netting 1
new 2
next 1
novel 1
of 13
old 1
on 3
one 1
or 1
other 1
over 1
own 1
panwallah 4
panwallahowner 1
parents 1
pen 1
pity 1
place 2
plan 1
plans 2
proprietor 1
protagonists 1
ramshackle 1
realizes 1
repair 3
repairer 1
repos 1
resolve 1
restaurant 2
returns 1
reunites 1
reveals 1
rich 1
rickety 1
saved 1
sea 1
set 1
sharing 1
she 1
shop 4
shows 2
sick 2
silvas 2
sister 1
sisters 3
skills 1
small 3
so 1
some 1
soonafter 1
source 1
spend 1
sri 1
start 3
still 1
stories 1
stress 1
strong 1
struggles 1
style 1
such 1
summerhouse 1
support 1
surrogate 1
take 3
takes 1
teaches 1
terribly 1
that 5
the 28
their 7
them 1
there 3
they 3
this 1
through 3
throughout 1
thul 2
ticket 1
to 23
together 1
too 1
took 1
tools 1
totally 1
town 1
traveler 2
treatment 1
trying 1
turns 1
two 2
unexpected 1
up 1
upon 1
use 1
used 1
very 1
village 5
vivid 1
warmth 1
was 1
watch 5
watchmaker 1
welcomes 1
western 1
when 2
which 2
who 3
whose 1
with 8
work 2
world 1
writingand 1
years 1
younger 2
