361217
/m/01_glx
/m/01_glx
Samuel Beckett
1960

0 2
01em 1
1 1
17 1
a 35
able 2
about 3
above 1
abstract 1
act 16
activities 1
admits 1
affection 1
after 7
again 1
aidesmmoire 1
alan 1
alarm 1
albeit 1
alignright 1
all 6
allow 1
almost 1
alone 1
along 1
already 1
also 2
although 1
always 6
am 1
ambiguity 1
amount 1
an 6
and 46
angrier 1
another 3
answer 1
answers 1
any 2
anything 1
are 10
around 2
arrived 1
as 16
asked 1
assertion 1
assumes 1
assures 1
at 17
attention 1
audibly 1
audience 2
auditor 1
available 1
away 3
back 4
bag 13
bar 1
battle 1
be 8
because 2
beckett 8
becketts 4
becomes 2
becoming 1
bed 1
been 8
before 1
beginning 1
begins 1
behind 1
being 5
believe 1
bell 5
berlin 1
between 1
big 1
billie 1
bird 1
bitter 1
black 1
bleaker 3
blue 1
bones 1
border1px 1
bosom 1
both 2
bottle 2
bottom 1
box 1
boyle 1
britain 1
broader 1
brustein 1
bungled 1
buried 2
bursting 1
but 12
by 9
called 1
came 1
can 4
cannot 3
carefully 1
cases 1
catchphrase 1
causality 1
cave 1
cellpadding3 1
cellspacing0 1
ceremony 1
certain 1
chance 1
changed 1
characters 3
charge 1
chatter 1
chest 1
classics 1
classinfobox 1
clearly 1
clock 2
close 1
collects 1
comb 1
combination 1
come 1
comedy 1
comes 1
comments 1
compared 1
complete 1
completed 1
completion 1
compulsive 1
concerned 1
concerning 1
conclusion 1
condition 2
confident 1
confirms 1
connects 1
conspicuousness 1
constant 1
contents 1
context 1
continues 1
contrast 2
control 1
conversation 1
cooker 1
correct 1
could 1
couple 1
crack 1
crawls 1
critical 1
crux 1
curiosity 1
cynicism 1
daily 2
dares 1
day 13
daylight 1
days 5
daytime 1
dead 1
death 1
decides 1
decipher 1
deeper 2
defines 1
defy 1
deluge 1
demonstrates 1
depths 1
derived 1
describe 1
described 3
describes 1
desperation 1
despite 1
detail 1
did 1
died 1
disappointment 1
discover 1
discuss 1
dissimilar 1
does 4
doesnt 3
doll 1
dont 2
doubt 3
down 2
drafts 1
drama 1
dramatically 1
dramaturgy 1
dream 1
dressed 1
duet 1
during 1
dying 1
early 1
earth 4
earthy 1
ebullient 1
ecclesiastical 1
effort 2
eg 1
either 1
else 2
em 1
embedded 1
emphasize 1
emptying 1
end 6
ende 1
ending 1
endless 1
engulfed 1
entire 1
entrances 1
ergo 1
escape 1
established 1
eternal 1
even 5
ever 1
every 1
everything 4
exact 1
existential 2
explained 1
explains 1
explicitly 1
expression 1
external 1
fact 4
factual 1
faded 1
fail 1
fall 1
familiar 1
far 3
feels 2
file 1
finally 1
finding 1
finds 2
finish 2
first 4
flitting 1
float 1
following 1
font3 1
for 9
force 1
fringe 1
from 13
front 2
fulfil 1
fun 1
function 1
functions 2
futilitarian 1
gave 2
german 1
get 2
gets 2
getting 1
girl 1
gives 1
go 2
goad 1
godot 2
gone 2
great 1
gucken 1
gun 2
had 1
hair 1
hairs 1
half 1
halfforgotten 1
happy 8
harder 2
hardly 1
has 15
have 7
he 14
head 3
heap 5
hear 1
heard 1
height 1
her 44
herself 3
him 2
himself 1
his 16
hog 1
hold 2
hole 1
homeward 1
hope 2
hopeful 1
how 4
however 2
husband 1
i 13
idea 1
idealised 1
if 3
ignites 1
ignores 1
ii 7
im 1
image 1
imagine 1
importance 1
important 1
impossible 2
in 53
incidents 2
indeed 1
inexorably 1
infinite 2
informs 1
instructions 1
intact 1
interest 1
interrogatory 1
into 4
intones 1
involve 1
ironic 1
is 58
it 22
items 3
its 3
itself 2
journey 1
kay 1
keep 2
keeps 1
kill 1
kiss 2
know 4
knows 2
krapp 1
krapps 1
last 1
later 1
laughs 1
lavishing 1
laws 1
learn 3
least 2
leave 1
leaving 1
left 2
less 2
let 2
letter 1
level 1
life 1
light 2
like 6
limited 1
line 1
linked 1
lipstick 2
listen 1
little 3
lives 2
load 1
longer 5
look 2
love 1
luckys 1
maddys 1
made 1
maintains 1
make 2
makes 1
man 3
managed 1
mangy 1
margin 1
market 1
mary 1
math 1
matter 1
me 5
mean 1
meaning 2
medicine 1
meet 1
memories 2
memory 1
merry 1
metaphors 1
millet 1
missed 1
molloy 1
moments 1
monosyllabic 1
more 5
most 3
mother 2
mothers 2
motive 1
mound 7
moustache 1
move 1
mr 1
much 1
mud 1
music 1
myself 1
mysterious 1
nail 1
nearer 2
necessary 2
necklace 1
need 1
needs 1
never 9
neverending 1
next 1
no 14
not 11
notion 1
now 1
objects 1
of 57
off 1
offers 2
often 2
oh 2
old 1
on 10
one 5
ones 1
onlooker 1
only 2
optimism 1
optimist 1
or 16
other 2
others 2
otherwise 1
out 9
over 3
pain 2
paper 1
parasol 4
part 1
particular 2
passed 1
passes 1
past 1
patent 1
pause 5
pearl 1
pearls 1
peer 4
perception 1
perhaps 1
phrase 1
physics 1
pick 1
place 7
places 1
play 8
plays 2
plight 1
plumb 1
plumbs 1
point 3
pokes 1
popular 1
positive 1
possessions 1
postcards 1
practical 1
prattles 1
pray 1
prayer 1
predicament 4
predicted 1
press 1
principle 1
privates 1
procedure 1
proceeds 1
process 2
progress 1
proper 1
protection 1
provide 1
pull 1
pulled 1
pun 1
punt 1
pure 1
put 1
question 3
questions 1
quickly 1
quotes 2
railwaycarriage 1
rain 1
raised 1
rather 1
reach 2
reaches 1
