32238193
/m/0gy1psq
/m/0gy1psq
Pete Dexter

a 5
about 1
acheman 1
after 1
against 1
ambitious 1
an 1
and 9
any 1
apparent 1
are 5
as 1
attempts 1
awaiting 1
be 2
beauty 1
becomes 1
been 1
bless 3
but 1
by 2
call 2
can 1
charlotte 3
commits 1
confident 1
consumed 1
corners 1
correspondence 1
cousin 1
cut 1
death 2
determined 1
enlisting 1
evidence 1
execution 1
expose 1
facts 1
fallen 1
feelings 1
for 2
from 4
fudged 1
given 1
guilt 1
had 1
hails 1
handcuffed 1
has 4
he 2
her 2
hillary 1
him 1
home 1
however 1
hungry 1
idealistic 1
if 1
ignored 1
immense 1
imprisoned 1
in 3
inconsistencies 1
inconsistent 1
innocence 1
investigative 1
is 5
it 1
jailed 1
james 1
journalist 1
justice 1
local 1
love 1
marry 1
marrying 1
met 1
miami 1
misjudged 1
mixed 1
murder 1
murders 1
naive 1
never 1
newspaper 1
newspapermen 1
now 1
of 4
on 1
pair 1
played 1
potential 1
presence 1
previously 1
prison 2
prize 2
prove 1
provokes 1
pulitzer 2
receives 1
redneck 1
released 2
reporters 1
returning 1
row 1
salacious 1
sexual 1
sheriff 1
should 2
situation 1
sleeps 1
small 2
soon 1
stomped 1
story 2
suicide 1
support 2
tension 1
that 4
the 12
their 1
then 1
they 2
thurmond 1
to 2
town 1
trade 1
tricks 1
two 1
unscrupulous 1
van 2
victim 1
ward 2
wetter 11
where 1
who 2
will 1
win 1
winner 1
with 3
woman 1
writers 2
yardley 2
