31077337
/m/0gg73w_
/m/0gg73w_
Raymond E. Feist

{"/m/01hmnh": "Fantasy"}
a 2
allies 1
an 1
and 4
are 1
armies 1
but 1
by 2
change 1
dead 1
defeat 1
easier 1
east 1
eastern 1
enemy 4
evil 1
fighting 1
for 1
forces 1
general 1
gone 1
has 1
heart 1
is 2
kesh 1
kingdom 3
krondor 1
leaders 1
made 1
magicians 1
miranda 1
much 1
must 1
nakor 1
new 1
not 1
now 1
of 4
on 1
pug 1
realm 1
reclamation 1
returning 1
rising 1
survive 1
thanks 1
that 2
the 11
their 1
threatening 1
to 3
tomas 1
top 1
unleashed 1
unnatural 1
western 1
who 1
with 2
