6253935
/m/0fz1zj
/m/0fz1zj
Chris Pierson
2001-11
a 27
abandoned 1
accepting 1
accepts 1
actions 1
actually 1
adjourns 1
advisers 2
after 7
against 4
agree 1
aid 1
allegiance 2
alley 1
allow 1
allows 1
almost 1
also 3
ambush 1
among 1
an 6
and 48
answer 1
answers 1
any 1
appears 2
approaching 1
approval 2
are 3
army 5
arrest 1
arrives 3
arriving 1
artifact 1
as 10
asks 1
at 3
attack 1
attacked 2
attempt 1
attempts 1
away 1
awoken 1
back 7
bandit 1
bandits 13
banish 1
banished 1
baron 2
battle 1
be 2
because 2
become 2
becomes 1
been 2
before 1
beg 2
begin 1
begins 3
beldinas 7
beldyn 20
bound 1
break 1
breaks 1
brother 4
but 8
by 7
called 3
calls 3
came 1
camp 1
camps 1
cannot 1
capture 3
captured 1
care 1
catacombs 1
cathan 19
caught 1
cell 1
city 6
claim 1
clan 1
cleansing 1
clergy 1
clergyman 1
clergymen 3
clerist 1
clerists 3
close 1
coma 1
commit 1
consider 1
convince 1
convincing 1
counsel 1
crown 8
crowned 1
dark 1
daughter 1
day 4
death 2
debate 1
debates 1
deciding 1
defenders 1
demon 1
deserting 1
desiring 1
didnt 1
die 1
died 4
dies 2
dire 1
disarm 1
discover 1
disgust 1
do 2
does 2
done 1
doubt 1
down 1
dreams 1
dungeon 1
durinen 4
during 3
earning 1
elves 1
emerges 2
emissary 1
emperor 4
empire 1
ending 1
enter 1
escapes 1
even 1
every 1
everyone 2
evil 1
except 1
face 1
fall 1
falls 1
family 4
far 1
fat 2
feels 4
fendrilla 1
fight 3
fighting 1
find 2
finds 1
finishes 1
first 1
fistandantilus 5
for 10
forces 1
forgiveness 1
form 1
found 1
friends 1
from 3
front 1
gained 1
game 1
gates 1
gem 1
ghost 1
giving 1
go 2
going 1
govinna 7
groups 1
guard 4
guards 3
hands 1
has 7
hate 2
have 3
having 2
he 21
head 1
heading 1
heads 1
heal 6
healing 2
heals 1
hears 1
heir 1
held 1
help 2
helped 1
her 7
herself 1
hid 1
high 1
highlands 4
him 13
himself 1
his 22
holy 1
house 3
however 10
humble 1
ignored 1
ilista 6
imperial 4
in 25
influences 1
injured 1
instead 1
instructing 1
intense 1
intent 1
into 4
is 19
istar 8
it 4
iv 1
join 1
joined 1
joins 1
jumps 1
just 1
khas 1
kicks 1
kill 5
killing 1
kingpriest 6
knocking 1
known 1
kurnos 19
later 3
learns 3
leaves 1
led 1
left 1
let 2
letting 1
life 1
lightbringer 8
like 1
likely 1
listen 1
little 4
live 1
location 1
long 1
longosai 3
looks 1
loralon 1
lord 1
lost 1
loved 1
luckily 1
lunges 1
magic 1
make 1
manages 4
mantle 1
many 1
march 1
mdash 1
meanwhile 3
meditate 1
meeting 2
member 1
members 1
message 1
miceram 1
midst 1
miracle 1
monastery 2
monk 1
monsters 1
more 2
mortal 1
mortally 1
most 2
motion 1
mourns 1
move 2
mutilate 1
natural 1
naturally 1
newfound 1
news 1
next 1
night 3
no 2
not 5
now 1
of 47
offers 1
on 6
once 1
one 1
only 5
or 1
other 3
others 1
oust 1
out 5
outside 1
over 2
overland 1
paladine 9
part 1
party 1
people 1
piece 1
pieces 1
placed 1
plague 1
plan 1
plans 1
pleading 1
pleads 1
portents 1
post 1
posted 1
power 7
powers 1
pradian 4
prayed 1
prays 1
pretends 1
pushes 1
puts 1
quickly 3
rain 1
rainy 1
reaches 1
realize 1
realizes 1
really 1
receive 1
receives 1
refuses 1
reluctantly 2
remaining 1
remains 1
replaces 1
reprimand 1
requests 1
rescued 1
rest 1
resulting 1
resurrect 1
resurrected 1
retrieve 1
returning 2
reveals 1
revenge 1
richly 1
right 1
ring 2
rips 1
robed 1
route 1
sacrifice 1
sathira 10
saving 1
scatas 6
searches 1
secret 1
see 1
seeing 1
seen 1
send 3
sends 1
sets 3
setting 1
she 9
sign 1
since 2
sister 3
situation 1
slays 1
slings 1
so 7
some 1
soon 4
spell 1
split 1
spreading 1
stay 1
still 1
suicide 1
support 2
surprising 1
surrenders 1
swear 1
swears 1
symbol 3
symeon 4
taken 1
taking 1
tarp 1
tavarre 3
telling 1
tells 1
temples 1
that 17
the 112
their 8
them 1
then 7
they 2
this 3
threatened 1
through 3
thrown 1
time 4
to 55
told 1
too 2
true 1
trusted 1
tunnel 1
turning 1
unbeknownst 1
unconscious 1
under 1
underground 1
undetected 1
united 1
unknown 1
unleashes 1
unlike 1
unluckily 1
until 2
up 2
ursurper 1
use 1
uses 2
village 3
villages 1
voice 2
votes 1
wait 1
wake 1
wall 1
walled 1
want 1
wants 1
was 2
wave 1
way 3
wentha 3
what 1
when 3
where 3
whether 1
which 1
while 1
who 3
wide 1
widow 1
wielder 1
will 3
with 14
within 1
without 1
woken 1
word 1
world 1
wouldbe 1
wouldnt 1
wound 2
