760079
/m/0391h2
/m/0391h2
Ken Follett

{"/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
140 2
a 23
aberdeen 2
about 1
accident 1
achieve 1
across 1
after 1
air 1
all 1
allied 1
allow 1
an 4
and 20
another 1
appears 1
are 2
army 5
arrest 1
as 3
at 5
attempts 1
away 1
back 1
balance 1
base 1
battle 1
be 1
begins 1
being 1
berlin 2
bloggs 3
body 1
book 1
both 3
bride 1
britain 1
british 1
broadcast 1
buildings 1
but 2
by 7
calais 3
call 1
car 1
catch 1
caught 2
causing 1
chase 1
churchill 1
cliff 2
coast 1
code 1
codename 1
collapses 1
collecting 1
comforts 1
connect 1
constructed 1
convince 1
cottage 1
counterintelligence 1
crash 1
create 1
created 1
crippled 1
david 9
dday 2
death 1
decides 1
depot 1
descend 1
die 2
directly 1
discovers 3
drives 1
during 2
electricity 1
embittered 1
employed 1
england 1
escapes 1
eventually 2
executed 1
exhausted 1
expoliceman 1
faber 21
fabers 2
fake 2
fall 1
fears 1
fellow 1
fictitious 2
fierce 1
finally 1
first 1
fly 1
follows 1
for 1
formed 1
fortitude 2
from 3
front 1
fusag 5
garden 1
german 3
germans 1
germany 2
getting 1
goal 1
godliman 2
going 1
group 1
grows 1
halfway 1
has 1
having 1
he 12
heads 1
henry 1
her 3
him 10
his 16
history 1
hitler 1
honeymoon 1
hoping 1
house 1
however 1
husband 1
identifies 1
ii 1
illusion 1
in 6
infidelity 1
information 3
intelligence 1
interrupted 1
interview 1
intimacy 1
into 1
introduces 1
invasion 1
investigate 1
involved 2
is 14
island 2
isolated 1
it 1
its 1
jeep 1
kill 1
killings 1
kills 3
land 1
landings 1
landlady 1
landladys 1
large 1
leads 1
legs 1
live 1
london 1
lonely 1
long 1
look 1
lose 1
loses 1
loveless 1
lucy 10
many 1
marriage 1
marrying 1
may 1
meanwhile 1
meet 1
message 2
mi5 2
military 1
movements 1
mrs 1
murder 1
nadel 2
needle 2
nickname 1
normandy 2
northern 1
not 2
occur 2
of 9
off 2
officer 1
on 4
one 2
only 2
operation 2
or 2
out 1
over 1
part 1
personally 1
persuading 1
photo 1
photos 3
physical 1
pilot 1
professor 1
radio 4
radioing 1
raf 2
railway 1
real 2
realize 2
realizes 3
recruited 1
relationship 1
repeated 2
resumes 1
retire 1
rock 1
rolling 1
room 1
run 1
scotland 3
send 1
sent 1
sets 1
several 1
she 2
shipwrecked 1
shortcircuiting 1
small 1
so 1
soldiers 1
soon 1
spies 1
spy 2
start 1
states 1
stiletto 3
still 1
stops 1
storm 3
striking 1
struggle 1
stuck 1
stumbles 1
successful 1
swim 1
take 1
takes 1
tanks 1
targeting 1
tells 1
tenants 1
tended 1
that 6
the 29
their 1
them 1
then 6
there 1
they 3
this 2
through 1
throws 1
times 1
to 30
told 1
track 1
traffic 1
trainee 1
transmission 2
transmitter 1
trawler 1
tries 1
troop 1
truth 1
try 1
trying 1
uboat 4
unable 2
united 1
use 2
used 2
using 1
waiting 1
war 1
was 5
were 1
what 1
when 1
where 3
whether 1
widowed 2
will 2
with 5
working 1
world 1
young 1
