16795469
/m/0406f6n
/m/0406f6n
Jason Goodwin
2006-05-16
{"/m/0lsxr": "Crime Fiction", "/m/0hwxm": "Historical novel"}
1826 1
a 5
against 1
all 1
alleyways 1
also 1
ambassador 2
an 1
and 8
anybody 1
are 2
assistance 1
before 1
between 1
beyond 1
bring 1
but 2
by 1
cases 4
concubine 1
conspiracies 1
control 1
corps 1
days 1
dead 1
democratization 1
different 1
disappear 1
disbands 1
discovers 1
element 1
elite 1
else 1
embassies 1
empire 1
employs 1
end 1
entrusts 1
eunuch 1
eunuchs 1
event 1
exercise 1
extreme 1
for 1
found 1
four 1
general 1
he 1
hidden 1
ii 1
in 4
investigate 1
involve 1
is 2
istanbul 1
janissaries 3
jewelry 1
june 1
later 1
long 1
mahmud 1
meanwhile 1
military 2
mosque 1
mother 1
murdered 1
must 1
mystery 1
new 1
newest 1
not 1
odds 1
of 7
officer 1
officers 1
once 1
one 1
only 1
or 1
ottoman 1
out 1
palace 2
perform 1
plot 1
polish 1
power 1
preventing 1
pursuit 1
related 1
replaced 1
revenge 1
russian 1
several 1
simultaneously 1
slaughters 1
solve 1
solving 1
somewhere 1
stolen 1
streets 1
struggle 1
subsequently 1
succeeds 1
sultan 4
surviving 1
ten 2
that 2
the 24
they 1
three 1
to 3
troops 1
unruly 1
various 1
westernized 1
which 1
wife 1
with 1
yashim 5
years 1
