10072879
/m/02q0wwk
/m/02q0wwk
Robert Muchamore
2007-03-15
a 20
ability 1
able 1
about 4
accident 1
accidentally 1
admits 1
aero 1
aeroplane 1
after 4
agent 3
agents 1
air 2
airfield 1
all 4
allows 1
alone 2
an 5
and 37
ankle 1
another 1
any 1
apologises 1
appear 1
appears 2
are 4
around 1
arranged 1
arrives 1
as 7
asked 1
asks 1
assassinated 1
at 2
attempts 1
authorities 1
awards 1
back 1
badly 1
basic 1
be 2
beaten 1
been 2
before 2
best 2
betraying 1
between 1
black 1
boy 1
bra 1
breaks 3
breasts 1
british 1
broken 1
bruce 1
bundles 1
business 1
but 4
by 5
call 2
campus 3
capture 1
car 1
career 1
cars 1
carting 1
caught 1
cctv 1
challenging 1
changes 1
cherub 4
cherubs 1
chips 1
choose 1
chooses 1
cia 1
city 1
coffee 1
comfort 1
confidence 1
contact 1
controller 1
copying 1
cost 1
couple 2
course 3
crying 1
dana 10
dark 1
date 1
day 1
decided 1
decides 2
denis 2
deserves 1
develop 1
dinner 1
disaster 1
disastrously 1
doesnt 1
down 1
driving 1
drunk 1
due 1
eating 1
emergency 1
end 1
endangered 1
ends 1
enough 1
escape 1
evidence 1
ewart 6
expands 1
falling 1
fancies 1
fancy 1
fight 3
fighting 1
find 1
finished 1
finland 1
firstly 1
flat 1
flight 1
follow 1
food 1
footage 1
for 6
forced 1
forgives 1
found 2
freaks 1
friends 2
from 6
gains 1
gcse 1
get 2
gets 1
girlfriend 1
go 5
goes 2
grateful 1
grinning 1
group 1
guaranteed 1
had 3
half 1
hand 1
hands 1
happening 1
has 3
have 4
having 2
he 23
heads 1
heard 1
heartbroken 1
height 2
heights 1
hell 1
help 4
helping 1
helps 1
helsinki 1
her 3
hilton 2
him 12
himself 1
his 14
history 2
homework 1
hospital 1
hotel 2
hotline 1
how 1
however 2
humping 1
idea 1
in 10
intentions 1
into 1
investigate 1
investigating 1
is 15
it 4
james 34
junior 1
keeping 1
kerry 7
kevin 2
killed 2
kiss 1
kissing 1
know 1
landing 2
later 6
lauren 4
leads 1
learns 1
leaves 2
lets 1
life 1
like 1
links 1
looking 1
loose 1
lord 2
lying 1
made 1
making 1
man 1
mark 1
meets 1
mentions 1
meryl 1
merylhe 1
message 1
mi5 1
mission 3
missions 1
money 1
morning 2
motor 1
mr 1
much 1
murder 2
needs 1
new 1
next 2
no 1
norris 1
nose 1
not 2
now 1
obidin 2
of 11
off 1
offered 1
office 3
old 1
on 2
once 2
one 1
operation 1
or 1
organize 1
out 7
over 2
own 1
papers 1
pass 1
passes 1
pe 1
peaceful 1
people 2
pike 1
pilot 1
political 1
pool 1
preparing 1
pressure 1
pressures 1
prime 1
protests 1
put 1
redshirt 1
refuses 2
relief 1
reporter 1
reveals 1
reward 2
rewarded 1
rival 1
russia 3
russian 2
saved 1
saying 1
says 1
scared 1
screwing 1
see 1
sees 1
service 1
sex 1
she 5
shirt 1
short 1
shouts 1
shown 1
sleep 1
so 1
socioeconomics 1
some 2
son 1
soon 1
spa 1
spencer 1
spills 1
stands 1
starts 1
state 1
stories 1
stripping 1
succeeds 1
such 1
suggested 1
summer 1
suspect 2
suspects 1
suspended 1
take 2
takes 2
talk 1
telling 1
terrified 1
that 9
the 24
their 5
them 2
then 1
there 2
they 11
things 1
think 1
thinks 1
this 1
though 1
through 2
thugs 1
to 32
together 2
training 2
trapped 2
treats 1
tries 2
trouble 1
try 1
two 2
uncovered 1
undercover 1
until 1
up 5
upset 1
used 1
very 1
vouchers 1
wakes 1
walks 1
wants 2
was 5
week 1
went 1
were 1
what 1
when 7
where 3
which 1
while 5
who 6
why 3
wiggle 1
with 7
within 1
work 2
working 2
write 1
wrong 1
zara 1
