6220213
/m/0fxg8r
/m/0fxg8r
Louis Cha

30s 1
a 13
about 1
accepts 1
actually 4
after 2
amidst 1
an 2
and 22
another 1
any 1
are 6
arrives 1
arts 2
as 4
associated 1
at 2
attempt 1
bandits 3
be 1
been 2
behind 1
betrayed 1
between 1
blood 1
boy 1
but 2
by 4
called 2
care 1
central 1
chen 5
china 1
chinese 5
close 1
cloth 1
companions 1
culture 1
cure 1
dahai 5
decides 1
defeats 1
desert 2
develop 1
dies 1
disapproves 1
disciple 1
discover 1
discovers 1
disguise 2
disguised 1
each 1
earlier 1
elderly 2
encounter 1
enemies 1
escaping 1
eventually 2
everyone 1
exile 1
expert 1
father 2
feeling 1
fighting 1
finds 2
five 1
flee 1
flees 2
for 3
forced 2
former 1
from 1
futile 1
gaochang 1
gather 1
ghost 6
girl 2
gobi 2
gradually 1
grateful 1
group 2
growing 1
had 1
han 5
has 1
haunts 1
have 1
he 4
hears 1
heavy 1
helps 1
her 8
hermit 2
hidden 1
him 1
his 11
home 2
horror 1
house 3
however 1
hua 5
hui 5
hunting 1
in 11
inside 2
into 2
is 12
it 1
items 2
its 2
ji 4
join 1
just 1
kazakh 2
kidnapped 1
kill 1
killed 1
killing 1
labyrinth 6
lair 1
land 1
later 2
leader 1
learns 1
leave 1
leaving 2
li 12
loses 1
loss 1
loved 1
lover 3
make 1
man 8
map 5
marriage 1
martial 2
meets 2
miserable 1
more 1
named 2
new 1
oasis 1
of 13
old 4
on 1
ones 1
onto 1
ordinary 1
origins 1
other 1
others 2
parents 2
place 1
placed 1
present 1
proceeds 1
pu 6
pursuit 1
ransack 1
realise 1
relationship 1
returns 1
revealed 2
reveals 1
riches 1
romance 1
saved 1
scene 1
secret 1
sees 1
separate 1
seven 1
several 1
she 2
shelter 1
shocked 1
shockingly 1
silence 1
snow 1
so 1
son 1
spilled 1
start 1
steed 1
stopped 1
story 2
student 1
su 6
suspects 1
taken 1
taking 1
teaches 1
tells 1
territory 1
that 6
the 36
their 3
them 3
they 5
to 17
traces 1
tracks 1
treasure 1
true 1
two 2
unfortunately 1
up 1
upon 1
wants 1
was 1
way 2
wenxiu 11
when 1
where 1
while 3
white 1
who 6
whom 1
with 2
without 1
woman 1
wounds 2
years 1
young 1
