7533582
/m/0264m2b
/m/0264m2b
Sharon Shinn
2004
1 1
17 1
18 1
2003 1
2004 1
a 3
ace 5
after 1
alleluia 1
also 1
although 1
and 2
angel 3
angelica 1
angelseeker 1
archangel 2
are 3
back 1
before 1
beings 1
birth 1
book 1
books 5
cedar 1
changed 1
child 1
corrupt 1
desert 1
destitute 1
edori 1
elizabeth 1
farmgirl 1
files 1
first 1
flying 1
focuses 1
for 2
fourth 1
goal 1
gone 1
he 1
health 1
healthy 1
her 2
hills 1
in 4
is 5
isolated 1
it 1
jansai 1
jovah 1
land 1
lap 1
leaves 1
life 3
live 1
longer 1
lot 1
luxury 1
mind 1
natural 1
no 1
not 1
novel 1
nurses 1
obadiah 1
of 6
on 1
one 2
over 1
politicians 1
poor 1
powerful 1
rebekah 1
rest 1
samaria 2
series 1
set 1
she 2
slaves 1
so 1
story 1
the 14
this 1
tired 1
to 2
whom 1
with 1
woman 1
wounded 1
young 1
