10858387
/m/02qs6z5
/m/02qs6z5
Erin Hunter
2006-12-26
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 11
abducted 1
after 5
age 1
agrees 2
all 1
an 4
ancestors 1
and 21
appoints 1
apprentice 1
are 3
argument 1
as 3
ashfur 1
attack 1
attacks 1
awake 1
badger 1
battle 2
be 1
because 1
become 1
becomes 1
becoming 1
before 2
being 1
berrykit 1
betrayal 1
betrays 1
between 2
blood 4
book 2
both 1
brambleclaw 20
brook 2
but 2
by 2
camp 2
can 1
cat 5
cats 2
caught 1
cinderkit 1
cinderpelt 5
claims 1
clans 1
cleared 1
conflict 1
consequences 1
continues 1
dawn 1
days 1
dead 1
death 1
decision 1
declares 2
deputy 5
desires 1
destroys 1
die 1
died 1
dies 1
different 1
down 1
dream 3
dreams 2
during 3
each 1
earlier 1
evil 1
father 1
few 1
fight 1
finally 1
finds 2
firestar 5
firmly 1
fish 1
following 2
for 6
form 1
former 1
four 1
fox 1
frees 1
friend 1
friends 1
from 6
fulfilled 1
given 1
goes 1
going 1
graystripe 1
grief 1
grieving 1
had 2
halfbrothers 1
has 1
have 1
hawkfrost 9
he 3
hears 1
help 1
helps 1
her 3
herself 1
him 2
his 8
humans 1
idea 1
in 8
is 9
its 1
kill 2
kills 1
kin 1
kit 1
kits 1
lake 3
leader 3
leading 1
leafpool 6
love 1
make 1
making 1
mate 1
matter 1
medicine 4
meeting 1
mentions 1
mentor 1
mentored 1
met 1
month 1
months 2
moonpool 1
mothers 1
moved 1
much 1
neck 2
never 1
new 4
not 4
objection 1
of 11
old 1
one 1
over 3
own 1
pain 1
peace 1
persuasion 1
plan 3
plans 1
pours 1
previous 1
prophecy 1
protecting 1
ranks 1
reborn 1
rebuild 1
red 2
refuses 1
rejects 1
rekindles 1
requirement 1
return 1
reveals 1
riverclan 1
run 2
same 1
sandstorm 1
seen 1
separation 1
shadowclan 1
share 2
sharp 1
she 2
should 1
shows 1
since 2
six 1
small 1
snare 1
so 1
sons 1
sootfur 1
sorreltail 1
spill 1
spirits 1
spottedleaf 1
squirrelflight 1
stabbing 1
starclan 4
stick 1
stormfur 2
struggling 3
stumbles 1
swim 1
take 2
tells 1
that 7
the 30
their 3
there 1
they 2
this 1
through 1
thunderclan 6
tigerstar 2
to 16
trap 3
turns 1
two 1
up 1
urges 1
visit 2
waiting 1
warrior 2
warriors 1
when 5
where 2
who 1
whom 2
will 3
windclan 1
wire 1
with 8
without 1
