879119
/m/03l3wd
/m/03l3wd
Edith Wharton
1905-10-14
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10000 1
a 11
abandon 1
able 2
aboard 2
accepts 2
accidental 1
accuses 1
addicted 1
admit 1
adultery 1
advantageous 1
affair 1
after 1
against 1
all 1
alone 1
an 2
and 13
as 2
at 1
attention 1
aunt 1
bart 1
based 1
be 1
become 1
believing 1
bertha 5
between 1
bought 1
burns 1
but 4
by 1
chances 1
circle 1
city 1
close 1
comes 2
complete 1
crack 1
cruise 1
debt 1
descends 1
desire 1
died 1
dies 2
disinherit 1
disreputable 1
dorset 2
draught 1
earlier 1
employers 1
end 1
ensuing 1
erodes 1
escape 1
esteem 1
europe 1
eventually 1
finds 1
for 7
friend 2
friends 1
from 4
further 1
george 2
gives 1
go 1
good 1
gossip 1
gus 2
had 3
has 1
he 3
her 23
hers 1
higher 1
his 3
hours 1
house 1
husband 2
in 4
infamy 1
infidelity 1
inheritance 1
initially 1
innocently 1
investments 1
invitation 1
is 6
it 1
jewish 1
job 1
join 1
judy 1
large 1
last 1
later 1
lawrence 1
leading 1
let 1
letters 2
lily 12
living 2
loses 1
love 3
luxurious 1
made 1
marriage 3
meet 1
millinery 1
mirth 1
money 2
mutual 1
mysterious 1
ned 1
never 1
of 14
offers 1
on 4
one 1
only 1
order 1
overdose 1
own 1
pay 1
peniston 1
personal 1
poet 1
poor 1
poorly 1
position 1
possible 1
possibly 1
produces 1
propose 1
proposed 1
prove 1
receives 1
refrains 1
rejects 1
relationship 1
reputation 1
rescue 2
residence 1
resigns 1
respect 1
return 1
rosedale 1
ruins 1
rumors 2
sabotages 2
sabrina 1
sake 1
scale 1
scandal 1
season 1
secretary 2
secretly 1
selden 5
several 1
she 11
shift 1
silverton 1
simon 1
sleeping 1
social 7
societal 1
standing 3
story 1
strata 1
suitor 1
sum 1
supposedly 1
takes 1
tells 1
terms 1
that 1
the 18
their 1
then 3
this 1
time 1
to 19
torn 1
transaction 1
trenor 2
tries 1
true 1
turning 1
unfortunately 1
until 1
unwilling 1
use 1
uses 1
visit 1
visits 1
was 3
way 1
wealthy 1
when 4
which 3
while 1
who 2
with 2
woman 2
working 1
works 1
yacht 2
years 1
young 1
