1493110
/m/055p0w
/m/055p0w
Henning Mankell

{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 3
adversities 1
all 1
and 3
as 3
bandits 1
believe 1
both 1
by 1
comes 1
destroyed 1
even 1
find 1
finds 1
fire 1
growing 1
has 1
have 1
help 1
her 5
hometown 1
in 1
is 2
land 1
legs 1
losing 1
mine 1
muazena 2
multiple 1
must 2
not 1
of 2
overcome 1
own 1
recovery 1
secrets 1
she 2
sister 1
sofia 4
some 1
strength 1
strife 1
such 1
teach 1
that 3
the 5
throughout 1
to 3
trying 1
up 1
village 1
way 1
weak 1
when 1
wise 1
with 2
woman 1
would 1
