449780
/m/029w8l
/m/029w8l
Anne Brontë
1847

a 6
ability 1
about 2
after 1
agnes 3
allowed 1
and 5
as 1
bloomfields 1
by 1
care 1
children 3
comes 2
daughter 1
death 1
desperate 1
destroy 1
different 1
early 1
earn 1
edward 1
end 1
era 1
face 1
families 1
family 1
father 1
few 1
financial 1
finds 1
for 3
governess 1
grey 1
happiness 1
have 1
her 3
herself 2
in 3
is 1
jobs 1
learn 1
living 1
loves 1
man 1
mary 1
minister 1
money 1
mother 1
murrays 1
must 1
novel 1
of 5
one 1
opens 1
rein 1
respectable 1
ruin 1
school 1
she 2
small 1
social 1
spoiled 1
status 1
takes 1
that 1
the 11
they 1
three 1
to 8
troubles 1
try 1
two 1
unruly 1
values 1
victorian 1
wealth 1
wealthy 1
who 2
whose 1
with 3
woman 1
women 1
working 1
young 1
