16072612
/m/03qn9v0
/m/03qn9v0
Douglas Preston
2009-05-12
{"/m/01jfsb": "Thriller"}
a 8
after 2
agent 2
ajar 1
along 1
aloysius 2
an 1
and 8
anniversary 1
apartment 2
approaches 1
archeologist 1
as 1
attack 1
attacked 1
attacker 1
authors 1
before 1
beginning 1
believe 1
bestselling 1
building 2
but 1
camera 1
celebrating 1
child 1
claim 1
committing 1
confirms 1
could 1
cult 1
dagosta 1
dead 2
deadly 1
dei 1
detective 1
dinner 1
door 1
douglas 1
enigmatic 1
exists 1
eyewitnesses 1
fbi 2
featuring 1
find 1
finds 1
first 1
for 1
from 3
her 1
here 1
his 1
history 1
home 1
homicide 1
hotbed 1
imagined 1
in 3
indian 1
individual 1
into 1
investigation 1
involvement 1
is 4
it 1
itil 1
journey 1
just 1
kelly 4
leads 2
leaving 1
less 1
lincoln 1
lived 1
local 1
magic 1
man 1
manhattan 2
murderer 1
museum 1
natural 1
never 1
new 1
newest 1
nora 1
novel 1
ny 1
nyc 1
obeah 1
of 5
official 1
out 1
part 1
pastry 1
pendergast 3
peril 1
pick 1
preston 1
pulled 1
quest 1
reporter 1
return 2
returns 1
river 1
romantic 1
secretive 1
security 1
seen 1
serpentine 1
she 2
shop 1
side 1
slips 1
smithback 4
sorcery 1
sotterraneo 1
special 2
suicide 1
takes 1
that 1
the 15
their 4
them 1
they 2
times 2
to 4
traditional 1
true 1
truth 1
twist 1
two 1
up 1
upon 1
upper 1
vivi 1
was 2
weeks 1
west 2
while 1
who 1
wife 1
william 1
with 1
witnesses 1
york 1
zombi 1
