3948986
/m/0b85hd
/m/0b85hd
Chris Lynch
2005-10-25
a 7
about 4
abuse 2
accidentally 1
accompany 1
accused 1
act 1
actions 1
addition 1
after 2
all 1
alone 1
an 1
and 14
angry 1
are 1
arguing 2
as 1
back 1
be 1
beautiful 1
because 3
becomes 1
bed 1
beds 1
before 1
begins 1
behavior 2
big 1
both 1
boyfriend 2
bullying 1
cabin 1
capable 1
classmates 1
close 1
cocaine 1
college 1
come 1
consideration 1
continues 1
could 3
crushed 1
dance 2
date 1
decides 1
despite 1
dialogue 1
dissipates 1
do 1
doesnt 1
dorm 1
each 1
end 1
events 2
father 1
feelings 2
field 1
first 1
firstperson 1
football 1
fran 3
friend 1
gigi 9
giving 1
go 1
goes 2
good 2
graduation 1
guy 1
happened 3
has 1
have 2
he 9
heinous 1
her 7
high 1
him 6
his 9
home 1
how 2
in 6
inexcusable 1
infamous 1
into 1
is 4
it 1
judge 1
keir 12
killer 1
leans 3
learns 2
led 1
life 1
like 1
listens 1
looked 1
loves 1
main 1
mary 1
mentions 1
mixed 1
more 2
most 1
narration 1
needed 1
never 2
new 1
next 1
nickname 1
night 4
not 2
novel 4
occurred 1
of 10
older 1
on 6
once 1
one 2
opening 1
opponent 1
other 1
over 1
paralyzes 1
participates 1
partying 1
point 1
problems 1
question 1
rape 1
reverts 1
room 1
saw 1
school 2
sees 1
selfimage 1
selfproclaimed 1
senior 2
setting 1
she 3
sisters 2
sleeping 1
so 1
something 1
son 1
substance 2
such 2
tackle 1
taken 1
tell 1
tells 1
terrible 1
than 1
that 5
the 18
then 2
there 1
they 3
thing 1
this 4
thoughts 1
through 1
throughout 1
to 13
treats 1
tries 1
two 3
unfolds 1
unpopular 1
up 1
use 1
view 1
visit 1
went 1
were 3
what 1
when 3
which 1
while 1
with 5
would 1
year 2
