6877746
/m/0gtxd8
/m/0gtxd8
Patrick D. Smith
1984
{"/m/02p0szs": "Historical fiction"}
a 2
after 1
amass 1
and 4
cattle 1
century 1
connection 1
cuba 1
drive 1
environment 1
family 1
fictional 1
first 1
florida 1
focuses 1
from 3
further 1
generations 1
georgia 1
harsh 1
holdings 1
in 2
into 1
land 3
learn 1
living 1
maciveys 1
mid1th 1
migrated 1
money 1
more 1
move 1
native 1
of 1
on 1
over 1
punta 1
rassa 1
remembered 1
round 1
scratch 1
settling 1
ship 1
story 1
struggles 1
survive 1
the 6
their 1
them 1
then 1
they 2
this 1
three 1
to 6
untamed 1
up 1
who 1
wild 1
