3244679
/m/090xbl
/m/090xbl
Patrick White
1957
1845 1
a 8
aborigines 1
absence 2
adopts 1
adversity 1
after 1
all 1
also 1
an 1
and 10
as 1
at 1
attended 1
attends 1
australian 1
ball 1
belle 1
bonner 2
but 1
by 2
cave 1
centres 1
character 1
characters 1
child 1
coast 1
collecting 1
colony 1
comes 1
complex 1
connection 1
continent 1
cousin 1
cross 2
day 1
description 1
desert 1
despite 1
developments 1
doom 1
draws 1
droughtplagued 1
during 1
each 1
endless 1
ends 1
events 1
eventually 1
expedition 1
expeditionary 1
explorers 2
first 1
for 3
from 3
garden 1
german 1
heads 1
heavily 1
his 1
hosted 1
house 1
in 5
inland 1
insight 1
intersperses 1
is 1
it 1
johann 1
judd 1
lands 1
later 1
laura 6
lie 1
lives 1
meet 2
member 1
members 1
mr 2
ne 1
nearly 1
new 2
not 1
novel 3
of 12
on 3
one 1
only 1
opens 1
orphaned 2
out 1
party 6
passion 1
patron 1
perish 1
physical 1
radclyffe 1
rain 1
remaining 1
retain 1
retreat 1
sets 1
settlers 1
some 1
south 1
splits 1
statue 1
stop 1
story 3
strength 1
the 24
their 1
then 1
they 3
time 1
to 5
travelling 1
trevelyan 2
twenty 1
two 3
ulrich 1
uncle 1
until 1
unveiling 1
voss 9
waiting 1
wales 1
waterlogged 1
weeks 1
where 1
woman 1
years 1
young 1
