18547030
/m/04g1q3x
/m/04g1q3x
Karen Traviss
2008-10-28
{"/m/06n90": "Science Fiction"}
10yearold 1
16 1
26 1
a 11
adam 2
after 4
again 1
aiming 1
albeit 1
alert 1
along 1
also 2
although 1
an 3
and 14
any 1
anya 1
area 1
army 3
arrives 1
as 7
ashore 1
ashpo 1
asking 1
aspho 4
assault 1
at 7
attack 3
attempt 1
attention 1
attract 1
back 2
background 1
base 3
battle 1
be 1
becomes 1
becoming 2
been 2
before 5
begin 1
begins 2
bernadette 1
bernie 1
between 1
bombing 1
both 2
brother 3
bullies 1
but 2
by 1
capture 1
capturing 1
carlos 5
causes 1
child 1
childhood 1
chronicling 1
city 1
closeness 1
cog 8
comes 1
commando 2
commandos 1
compared 1
complete 1
compromised 1
constantly 1
contingency 1
continue 1
continues 1
contrast 1
course 1
covert 3
data 1
dawn 1
day 1
death 2
decades 1
decides 1
defense 1
delta 1
demeanor 1
despite 1
developing 1
different 1
disappears 1
discovered 1
divert 1
dividing 1
dom 6
during 5
earlier 1
eday 1
education 1
emergence 1
enemy 1
enlist 1
enlists 1
equally 1
equipment 1
establish 1
evade 1
event 1
events 4
expecting 1
facility 3
family 3
fast 1
father 1
fenix 5
fields 3
finale 1
find 1
finishing 1
first 3
flashes 1
flashing 1
following 1
follows 1
food 1
for 6
forces 3
four 1
friends 1
from 4
further 1
future 1
game 3
gate 2
gear 1
gears 3
girlfriend 1
given 1
guard 1
had 1
hammer 1
has 2
he 1
helena 1
her 2
him 1
his 8
hoffman 2
honorary 1
however 1
important 1
in 7
includes 1
infiltrate 1
infiltrates 1
information 1
intentions 1
intermediate 1
invasion 1
involvement 1
is 11
it 1
jacinto 1
join 1
jumping 1
land 1
later 1
led 1
leveler 3
lightmass 1
little 1
location 1
locust 1
lone 1
main 1
major 1
manages 1
marcus 11
maria 1
mataki 1
mission 1
most 1
mother 2
near 1
nearby 1
necessary 1
north 3
notable 1
novel 1
objectives 1
of 18
officer 1
olafson 1
on 1
one 3
operation 5
organized 1
other 1
own 1
parents 1
part 1
path 1
pellegrian 1
pendulum 1
periods 1
perish 1
personnel 1
picks 1
pivotal 1
plan 1
planning 2
plans 1
point 2
position 1
present 1
protect 1
putting 1
question 1
quick 1
quickly 1
quiet 1
reappearance 1
reinforced 1
reinforcements 1
reluctant 1
research 3
rest 1
resulting 1
revealed 1
rich 1
rise 1
same 2
santiago 4
santiagos 1
school 2
secrecy 1
secure 1
security 1
selected 1
sharp 1
she 1
special 1
spends 1
squad 3
story 1
storylines 1
stroud 2
struggle 1
such 1
superior 1
supply 1
surround 1
taking 1
task 1
that 3
the 54
their 3
themselves 1
thenmajor 1
this 3
three 1
time 7
to 17
transport 1
two 1
under 1
unexpectedly 1
up 2
version 1
war 3
wars 1
week 2
well 1
when 1
while 2
wife 1
with 6
work 1
wrong 1
year 1
years 3
