231295
/m/01hn49
/m/01hn49
Roger Zelazny
1967
a 60
ability 1
able 1
about 1
above 1
accelerationist 1
accepts 1
access 1
accuses 1
acolytes 1
acquired 1
across 1
act 1
addressing 1
admits 1
advancement 1
advancements 1
after 5
against 7
age 1
agni 4
all 1
alliance 1
allied 1
allies 2
allow 1
allowed 1
ally 2
along 1
also 3
always 1
amassed 1
amplifies 1
an 5
and 64
animals 1
animation 1
any 3
anything 1
anyway 1
ape 2
appalled 1
apparently 3
appears 2
approaches 1
archivist 2
are 6
army 2
around 2
arrange 1
arrive 1
arrives 1
as 27
aspects 2
assembles 1
assisted 1
at 6
atman 2
attempt 1
attempts 3
attributes 1
available 1
awakes 1
aware 1
away 1
back 2
bargain 1
battle 3
battlefield 1
be 12
because 3
become 1
becomes 1
becoming 1
been 4
before 3
being 1
believes 1
beloved 1
below 1
belt 1
betrayal 1
betrayed 1
betrays 1
better 1
beyond 1
biofeedback 1
bird 1
black 1
blissful 1
blow 1
bodies 4
bodiless 1
body 13
botched 1
bound 1
bout 1
brahma 7
brahmakali 1
brainwave 1
bridge 3
brief 2
bright 1
buddha 2
buddhism 1
buddhist 1
build 1
but 9
by 24
calculatingly 1
called 1
calls 1
campaign 1
can 3
candidate 1
cannot 4
captain 1
capture 1
captured 1
carefully 1
carve 1
caste 1
caused 1
causes 2
ceases 1
celebrate 1
centuries 1
challenge 1
chance 1
chances 1
changes 1
chaplain 1
characterize 1
characters 1
chemical 1
chief 1
christian 1
cities 1
city 2
claims 1
clandestine 1
coldly 1
colonist 1
colonists 1
colonized 1
come 1
comely 1
comes 1
commits 1
concern 1
condemned 1
condition 1
conscience 1
consent 1
conspirators 1
contacts 1
continent 1
continue 1
control 3
controlled 1
conveyed 1
conveying 1
cost 1
covers 1
create 1
created 1
crew 5
crewman 1
cripple 1
crushing 1
culture 1
curse 1
daughter 1
days 1
dead 3
dealing 1
death 1
deathgod 1
deaths 1
deception 1
decide 2
defeat 3
defeats 1
deities 2
demands 1
demigod 1
demigoddesses 1
demigods 1
demon 1
demons 6
departure 1
deposes 1
descends 1
descriptions 1
desires 1
despite 2
destroy 1
destroys 1
destruction 1
determine 1
determined 2
developed 2
device 2
disappears 1
disciples 1
diseased 1
disgusted 1
displaced 1
disturbances 1
doctrine 1
dog 1
dogs 2
doing 1
done 1
down 3
drunken 1
due 1
each 1
earlier 1
earnest 1
earth 1
earthly 1
electromagnetic 1
electronically 1
electronics 1
elite 1
emphasizes 1
emulate 1
encounter 1
end 1
enemies 1
enemy 1
enhanced 1
enjoying 1
enlightenment 1
enough 1
entering 1
enters 1
entrust 1
escape 2
escapes 1
essence 1
estates 1
ethereal 1
even 5
eventually 6
examining 1
example 1
exceeding 1
execute 1
execution 1
executioner 1
exile 2
exiled 1
experienced 1
extended 1
extract 1
exultant 1
eyes 1
faces 1
fails 1
falls 1
falsely 1
fat 1
fatally 1
fathered 1
fear 1
feast 1
feeling 1
fell 1
fight 4
fighter 1
fighting 1
final 2
finally 1
find 1
finding 1
finds 3
fire 1
first 1
fitness 1
flee 4
flees 1
flesh 2
flush 1
for 15
force 1
forces 1
forgotten 1
former 5
formerly 1
found 3
four 1
free 3
freed 1
frees 1
friend 3
from 10
full 1
fully 1
gadgetry 1
ganesha 4
garuda 1
gather 1
generations 1
getting 1
giant 1
given 1
go 1
god 4
goddess 3
godhood 1
gods 28
gone 1
great 6
guilt 1
had 5
harem 1
has 16
hat 1
hates 1
have 4
having 3
he 39
hear 1
heaven 11
helba 2
held 1
hellwell 3
help 3
her 6
hermann 1
herself 2
hesse 1
hidden 1
hierarchy 1
him 11
himself 9
hindu 3
his 28
hitting 1
hold 1
homely 1
hoping 1
horrified 1
hostile 1
house 1
how 1
however 6
huge 2
human 1
hunted 1
if 3
ill 1
illusion 2
immersion 1
immortals 1
in 34
including 1
increase 1
india 2
indigenous 1
instead 5
institute 1
intensified 1
interfering 1
into 6
introduces 1
invented 1
investigate 1
investigating 1
ionosphere 2
ions 1
irish 1
is 37
it 3
jamming 1
jan 1
joined 1
joins 1
judged 1
kali 10
kaniburrha 1
karma 3
keenset 3
kill 4
killed 1
killing 2
kills 1
knocks 1
knowing 1
known 1
knows 1
krishna 1
kubera 9
last 2
later 2
laying 1
lead 1
leader 1
leaves 2
less 1
lesser 1
lest 1
level 1
life 4
lifetimes 1
light 2
like 3
listen 1
lived 1
local 1
locked 1
look 1
lord 2
lover 1
machinations 1
machinery 1
made 1
magic 1
maharajah 1
mahartha 1
main 1
maintain 1
maintaining 1
makes 1
man 4
manipulate 1
many 5
mara 1
marked 1
marriage 1
married 1
masses 2
master 1
masters 2
may 2
maya 1
meanwhile 1
medieval 1
meditation 1
members 1
men 3
mere 1
message 1
might 2
mightiest 1
mind 2
mindprobe 1
minds 1
mindtransfer 1
mirrors 1
mission 1
mistress 1
mode 1
monastery 1
monsters 1
more 3
most 1
move 1
murdered 2
murders 1
murga 2
murugan 3
muses 1
museums 1
must 5
muster 1
mutate 1
myths 1
name 1
namely 1
names 1
native 1
natural 1
negotiates 1
new 6
next 4
night 1
nirriti 5
nirvana 3
no 1
nonhuman 1
nonviolence 1
not 2
novel 2
now 1
nowgreat 1
nuclear 1
numbered 1
obedience 1
obtain 1
obvious 1
occupy 1
of 80
off 1
offer 1
offers 1
old 3
olvegg 2
on 12
once 1
one 8
only 3
operated 1
opposition 2
or 11
order 1
original 1
other 3
others 2
out 5
over 2
overthrow 1
owes 1
own 1
palace 2
partdemon 1
passive 1
past 2
perhaps 1
period 1
perish 1
person 1
personal 2
persons 1
persuades 1
philosophy 1
pit 1
place 3
plan 2
planet 5
planned 1
pleasure 1
pleasures 1
possession 1
possible 1
potential 1
power 4
powerful 1
powers 5
preaches 1
preaching 2
prepares 1
prince 1
proceed 2
proceeds 2
progeny 1
projected 2
promising 2
protagonist 1
protect 1
prove 1
proved 1
pursue 1
pursuit 1
pyrrhic 1
quickly 1
race 1
races 2
radio 1
raids 1
rather 2
ratri 5
ready 1
realizes 2
realizing 1
rebellion 1
rebirth 1
records 1
recovers 2
recruit 1
reference 1
refused 1
refuses 1
reincarnated 4
reincarnation 5
rejected 1
release 1
religion 2
remain 1
remnants 1
remote 1
renaissance 1
renegade 1
renounces 1
replacement 1
resort 1
respect 1
restore 1
restored 1
resume 1
retarded 1
return 2
returned 2
returns 1
revealed 1
reveals 1
revel 1
revival 1
revolt 1
rild 4
ring 1
river 1
sacrifice 1
sam 48
samtaraka 1
sea 1
seducing 1
see 2
seems 1
sees 1
selfimages 1
sends 1
senses 1
sent 1
series 1
set 2
setting 1
she 2
ship 1
shiva 4
shores 1
short 1
shortly 1
should 2
siddhartha 3
since 2
sing 1
smoke 1
so 1
sober 1
some 6
song 1
soon 1
soul 2
southern 1
space 2
spaceship 1
span 1
spans 1
spear 1
spies 1
spirit 1
spirits 1
spread 1
stage 1
stages 1
stamp 1
stand 1
standdown 1
star 2
stars 1
steals 1
stimulate 1
stole 1
stop 1
story 2
strange 1
stranglehold 1
strengthened 1
strives 1
struck 1
struggle 2
subjugate 1
submit 1
succeeding 1
such 3
suffered 1
sugata 1
sugatarild 1
suicide 1
suppressing 1
sure 1
surrounded 1
survival 1
survive 1
suspect 2
suspended 1
sworn 1
sympathizers 1
system 1
tak 7
take 2
taken 1
takes 4
taking 2
tall 1
taraka 11
target 1
teacher 1
technological 3
technology 3
tells 2
tended 1
than 2
that 20
the 141
their 11
them 2
themselves 4
then 3
there 1
these 1
they 13
thick 1
thieves 1
this 10
those 2
thousands 1
throws 1
thus 1
tigers 2
time 4
titanic 1
to 82
together 1
told 2
tool 1
top 1
transceiver 1
transfer 3
treatments 1
treetrunk 1
tricks 2
try 1
trysting 1
turn 1
turned 1
turning 1
turns 1
two 2
uncovered 1
undergoing 1
undermines 1
unfit 1
unkillable 1
unknown 1
until 1
up 2
upon 1
urath 1
used 4
uses 1
using 1
vanished 1
various 1
vault 1
viable 1
victory 1
vishnu 1
wander 2
wandered 1
wants 1
warns 1
warrior 1
was 6
waste 1
way 1
ways 1
weaken 1
weaponry 1
weapons 1
wears 1
wedding 3
well 2
went 1
were 1
what 3
when 2
where 2
which 5
while 5
white 1
who 9
whole 1
whom 4
wide 1
will 3
wills 1
win 1
wisdom 1
with 17
without 1
work 1
world 5
would 2
wounded 1
yama 26
years 1
young 1
zombie 1
