20352660
/m/04zwhvg
/m/04zwhvg
William H. Keith, Jr.

{"/m/01smf2": "Military science fiction"}
30man 1
a 3
able 2
about 1
according 1
across 2
act 1
afraid 1
against 1
alien 3
aliens 1
all 3
allies 2
along 1
america 1
american 3
americans 2
among 1
an 3
and 17
any 1
appears 1
are 5
armed 1
arsenal 1
as 3
at 5
attack 2
attacked 1
aztlan 1
back 2
backed 1
base 1
becomes 1
been 2
beer 1
before 1
begin 1
beginning 1
being 2
between 2
bombardment 1
border 2
breathe 1
but 5
by 3
cans 1
capture 2
cause 1
city 1
civilians 1
civilization 1
considering 1
contact 1
contacting 1
control 1
controversial 1
corps 2
could 1
creation 1
cross 1
cruise 1
cuba 1
cydonia 1
damage 1
decide 1
defeat 2
desert 1
differently 1
diplomatic 2
disabling 1
disbanded 1
discover 1
discovered 1
done 1
earth 3
embassy 1
escape 1
evacuate 1
even 1
events 1
evidence 1
expeditionary 1
experimental 1
face 1
facilities 1
famous 1
favor 1
few 1
fighters 1
fighting 1
findings 1
finds 1
fire 1
for 1
force 2
forced 2
forces 4
found 1
french 1
from 5
german 1
go 1
government 2
habitats 1
handle 1
has 1
have 2
help 1
history 1
hopes 1
hostilities 1
however 1
human 2
humans 1
hundreds 1
imprisoning 1
imprisonment 1
improvised 1
in 4
increase 1
increases 1
independence 1
information 2
inside 1
interests 1
international 1
into 1
invade 1
is 8
iss 1
it 4
its 1
itself 2
japanese 2
join 1
kicks 1
laser 1
launched 1
launches 1
leadership 1
life 1
lose 1
low 1
magnitude 1
manchuria 1
manchurian 1
march 2
marine 3
marines 5
mars 11
martian 1
may 1
meanwhile 1
mexican 1
mexico 2
miles 1
militants 1
missiles 1
mission 1
monopolizing 1
morale 1
nation 1
near 1
not 3
observers 1
of 12
off 1
official 1
on 10
once 1
one 2
only 1
open 1
orders 1
organization 1
other 1
over 1
past 1
personnel 1
piece 1
platoon 1
president 1
pressure 1
prime 1
protect 1
quebec 1
race 1
reach 1
reason 1
reasons 1
recapture 1
release 1
releasing 1
reluctant 1
remaining 2
remains 1
research 1
researching 1
responsible 1
ruins 1
russia 2
same 2
scientists 2
secretly 1
sends 2
set 1
shared 1
shepard 2
ships 1
simultaneously 1
site 1
smuggled 1
some 1
soon 1
southern 1
space 2
states 5
station 5
stationed 1
stop 1
stormed 1
structures 1
succeed 1
superiors 1
support 1
surprise 1
surrendering 1
take 1
technology 1
tensions 1
that 3
the 63
their 4
there 2
these 1
they 2
think 1
this 3
though 1
threatened 1
time 2
to 21
troops 2
turn 1
un 16
under 1
united 5
up 2
us 6
using 1
want 1
wants 1
war 1
was 2
weapon 1
weapons 1
well 1
were 1
what 1
when 2
which 1
while 2
will 1
with 5
world 1
