7184483
/m/025vgg5
/m/025vgg5
Anthony Burgess

{"/m/014dfn": "Speculative fiction"}
a 2
aboard 1
agent 1
amoral 1
and 2
britain 1
childhood 1
city 1
clara 1
convention 1
defected 1
devi 1
en 1
fatale 1
femme 1
friend 1
has 1
he 1
hillier 1
his 1
infiltrate 1
journeys 1
meets 1
mi6 1
miss 1
mission 1
of 3
on 1
passenger 1
polyolbion 1
precocious 1
return 1
roper 1
route 1
russia 1
scientists 1
sexually 1
shadowy 1
ship 1
sixteenyearold 1
soviet 1
the 6
theodorescu 1
to 4
tycoon 1
voluptuous 1
who 1
yarylyuk 1
