2667163
/m/07wkqv
/m/07wkqv
Italo Calvino

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
123 1
27 1
3 3
a 5
about 2
actual 1
all 1
an 1
and 7
anthropological 1
around 1
arranged 1
as 2
being 1
beyond 1
book 1
by 1
calvino 1
categorizing 1
chapter 2
chapters 2
character 1
chiefly 1
collections 1
complex 1
concerned 1
contemplating 1
cosmos 1
cultural 1
culture 1
detailed 1
each 2
elements 3
encompasses 1
end 1
example 1
experience 1
extending 1
extent 1
far 1
find 1
first 1
for 2
fundamental 1
garden 1
growing 1
has 1
him 1
his 2
how 1
il 1
in 7
infinite 1
infinito 1
infinity 1
investigation 1
is 2
it 1
itself 1
larger 1
lawn 4
makes 1
man 1
marker 1
mind 1
miniature 1
mirrored 1
mr 2
nature 3
observations 2
of 15
on 2
others 1
palomar 2
pattern 1
perceive 1
phenomena 1
philosophical 1
plants 1
prato 1
problem 3
progress 1
quantify 1
quest 1
questions 1
run 1
seamlessly 1
search 1
second 1
section 2
short 1
shows 2
so 1
speculations 1
subsection 1
subsections 1
such 1
symbolism 1
the 24
thematic 1
themes 2
these 1
third 1
this 1
those 1
thoughts 1
three 3
time 1
title 1
to 1
together 1
triad 1
truths 1
universe 1
us 1
various 1
versus 1
very 1
visual 1
we 2
weeds 1
with 3
world 1
