423675
/m/026rxb
/m/026rxb
Flann O'Brien
1939
{"/m/05hgj": "Novel"}
a 14
about 3
accordingly 1
account 1
adaptations 1
agree 1
an 2
and 14
another 1
antony 2
apparently 1
articulate 1
as 6
asleep 1
assault 1
at 2
author 1
autobiographical 1
bachelor 1
be 3
beauty 1
become 2
bed 1
befriends 1
beginning 1
believes 1
betray 1
birth 1
blinded 1
book 2
born 1
brewery 1
but 1
by 8
case 1
character 1
characters 2
child 1
class 2
clerk 1
climax 1
college 2
complacent 1
concerning 1
concerns 1
consists 1
control 1
convenes 1
cool 1
course 1
created 1
creates 1
creations 2
cynical 1
death 1
dermot 1
destinies 1
details 1
devil 1
devise 1
did 1
does 2
domestic 1
drinking 1
drug 1
dublin 1
due 1
each 2
encouraged 1
ending 1
ends 1
entire 1
exams 1
fairy 1
far 1
father 1
fiction 1
fictional 2
finn 2
first 1
firstperson 1
for 2
forgets 1
found 1
frame 1
freedom 1
friends 1
furriskey 3
gift 1
gives 1
giving 1
going 1
good 1
group 1
guilty 1
guinness 1
he 4
her 3
him 1
himself 2
his 9
hotel 1
i 1
in 10
including 1
intertwined 1
invisible 1
irish 2
is 6
itself 1
john 2
just 1
king 1
lamont 3
lead 1
legends 1
life 1
literature 1
little 1
lives 3
lurid 1
lying 1
mac 1
macphellimey 1
mad 1
man 2
manage 1
meanwhile 1
meets 1
member 1
might 1
more 2
mostly 1
motion 1
named 2
not 1
novel 2
novels 1
now 1
of 11
on 1
one 2
order 1
orlick 3
other 2
others 1
out 1
over 1
overthrow 1
own 2
passes 1
paul 1
plots 1
pocket 1
polite 1
pooka 3
presents 1
quarrelsome 1
quiet 1
quite 1
rather 1
recounts 1
red 1
resentful 1
respectable 1
ruled 1
second 1
seduce 1
seems 1
selfconsciously 1
separate 1
sets 1
shanahan 1
sheila 2
sister 1
so 2
soon 1
spend 1
spends 1
starts 1
stories 2
story 2
stout 1
student 9
studying 1
suspects 1
swan 1
sweeney 2
swimtwobirds 2
than 2
that 5
the 24
their 2
them 1
they 2
thing 1
third 1
this 1
three 1
time 2
to 9
tortured 1
trellis 9
tried 1
turns 1
two 1
uncle 2
unnamed 1
urbane 1
very 1
viciously 1
was 1
way 1
westerns 1
where 1
which 1
who 5
will 1
with 6
working 1
works 1
writer 1
writing 3
young 2
